Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
231.0,Justin Edwards,21.0,PHI,SF,34.0,16.0,24.6,3.3,7.4,0.45,1.4,4.1,0.348,1.9,3.3,0.575,0.546,0.6,0.8,0.704,1.0,2.1,3.1,1.4,0.9,0.3,0.9,2.3,8.6,,edwarju01
232.0,Tyrese Martin,25.0,BRK,SG,51.0,7.0,21.3,3.1,7.6,0.41,1.6,4.6,0.353,1.5,3.0,0.497,0.517,0.7,0.9,0.771,1.0,2.6,3.6,1.8,0.5,0.2,1.1,1.2,8.6,,martity01
233.0,Kel'el Ware,20.0,MIA,C,50.0,22.0,20.6,3.7,6.7,0.546,0.6,1.8,0.319,3.1,4.9,0.631,0.59,0.7,1.1,0.698,1.6,4.9,6.5,0.9,0.6,1.0,0.9,1.6,8.6,,wareke01
234.0,Brandon Clarke,28.0,MEM,PF,63.0,18.0,19.1,3.7,6.0,0.623,0.0,0.3,0.059,3.7,5.7,0.649,0.624,1.0,1.4,0.701,2.0,3.1,5.2,1.0,0.8,0.6,0.7,2.3,8.5,,clarkbr01
235.0,Kyle Filipowski,21.0,UTA,C,59.0,15.0,19.6,3.2,6.2,0.514,1.0,2.5,0.383,2.2,3.6,0.605,0.592,1.2,1.9,0.64,1.4,4.1,5.4,2.0,0.6,0.2,1.3,2.2,8.5,,filipky01
236.0,Larry Nance Jr.,32.0,ATL,PF,24.0,3.0,19.3,3.3,6.5,0.516,1.4,3.2,0.447,1.9,3.3,0.582,0.626,0.4,0.5,0.692,1.0,3.3,4.3,1.6,0.8,0.5,0.7,1.5,8.5,,nancela02
239.0,Al Horford,38.0,BOS,C,53.0,37.0,27.5,3.0,7.3,0.416,1.8,5.0,0.36,1.2,2.3,0.542,0.54,0.5,0.6,0.875,1.2,4.7,5.9,2.1,0.6,0.9,0.8,1.4,8.4,,horfoal01
240.0,Jaylen Nowell,25.0,NOP,SG,8.0,0.0,21.0,3.3,9.1,0.356,1.0,3.4,0.296,2.3,5.8,0.391,0.411,0.9,1.4,0.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4,,nowelja01
241.0,Damion Baugh,24.0,CHO,SG,11.0,2.0,26.1,3.2,9.1,0.35,0.9,4.0,0.227,2.3,5.1,0.446,0.4,1.0,1.2,0.846,0.7,2.4,3.1,3.9,1.3,0.1,1.9,1.6,8.3,,baughda01
242.0,Mike Conley,37.0,MIN,PG,59.0,53.0,24.9,2.6,6.6,0.395,1.8,4.5,0.413,0.8,2.2,0.359,0.534,1.2,1.3,0.911,0.5,2.1,2.6,4.5,1.2,0.2,1.1,1.6,8.3,,conlemi01
