Player,Team,3PAr,2P%,eFG%,TS%,FTr,OWS,OBPM,USG%,AST%,TOV%,On-Off,STL%,BLK%,DBPM,TRB%,DWS,VORP,WS/48
A.J. Green,MIL,1.9786553844089365,-0.937729236306817,0.962323551669554,0.7122218208705992,-1.472144438849948,0.0014623497075343496,-0.7338716451306364,-1.0977385466369245,-0.7380434466101449,-1.0311490674585309,0.19303823324183675,-0.7942807056728097,-0.9442331026051521,-0.3280799717620751,-1.073150651885236,-0.061905935983791224,-0.7703681397082631,-0.34743438308400854
Aaron Holiday,HOU,1.0428664822027196,-0.4095388909584873,0.20577165088137184,0.23103707421829728,-0.41961787018982855,-0.2676099964788012,-0.1518355127856489,-0.34208596569615807,0.033946184366047814,-0.11684749946667908,0.037328874133954804,-0.7942807056728097,-0.6564906533183883,0.15292970795283983,-1.0949164940310565,-0.5856159231570139,-0.35346302880732067,0.3902702043813383
Aaron Nesmith,IND,0.3836654328653353,0.5588100755134491,1.0139066358142028,1.193406567522901,-0.29148420096163996,0.0014623497075343496,0.11272636555298177,-0.2808168375117714,-0.794188147044777,-1.058855175579496,1.9404432632302901,-0.6417257475895143,-0.3687482040316245,-0.7289213715245043,-0.42017538751062156,-0.7165434199503196,-0.4924313991076348,0.21555069682375624
Ajay Mitchell,OKC,-0.5613430644365095,-0.08256391526666414,0.4292983488415152,0.5456578701063408,-0.2640269861270281,-0.44699156060302503,-0.8396963964660888,-0.4850472647930597,-0.05027086628590043,0.4095685548316598,-0.7412179214054551,0.5787139170768486,-0.8866846127477993,0.7141076676202405,-0.8554922304270312,-0.4546884263637082,-0.4924313991076348,0.5455764333214115
Alec Burks,MIA,1.3839915007409462,-2.145021454245855,0.20577165088137184,0.23103707421829728,0.03800237705370191,-0.5366823426651368,-0.04601076145019661,-0.7097007348024771,-0.5976816955235644,-1.197385716184322,1.4214120662040168,-0.03150591525633298,-0.6564906533183883,0.3934345478102973,-0.42017538751062156,-0.5856159231570139,-0.21449465850700658,-0.05623520382137158
Amen Thompson,HOU,-1.3772772303995655,0.6468417997381707,0.3777152646968663,0.4901365531849214,1.401710713839422,1.8849687730118834,0.8534996249011477,-0.15827858114299886,0.34274203675652504,0.9359846091299987,0.05462991403483057,0.42615895899355316,0.7822215931154308,1.756295307002556,0.7116484040720433,3.080353987055544,2.9817778584002186,1.2832810207867587
Amir Coffey,LAC,0.24998130397873272,-0.2586273637161074,0.39490962607841595,0.7307289265110724,0.10206921166779595,1.0777517344528769,-0.46930976679200576,-0.6280085638899617,-1.0187669487833058,-1.335916256789148,-1.4851626371431137,-0.946835663756105,-0.9442331026051521,-0.408248251714561,-1.1384481783226976,0.46180405118943124,-0.4924313991076348,0.1961374182062471
Andre Jackson Jr.,MIL,-0.1234122973941911,-0.346659087940829,-0.01775504707877344,-0.4537258344792072,-1.1884198855589594,-0.9851362529756962,-1.686294407149707,-1.322392016646342,-0.3590667186763774,2.6814694207508065,-0.6201106420993246,-0.18406087333962814,-0.4262966938889772,0.15292970795283983,-0.05015607103167353,-0.192833432777097,-1.0483048803088912,-0.7745265126692096
Anfernee Simons,POR,0.45742219363035735,-0.5730263788043989,-0.25847610642046837,-0.13910503859116571,-0.49283710974879347,1.615896426825548,1.3297110059106831,1.3326035380104058,1.4094913450145368,-0.31079025631343526,-0.4124981632888154,-0.6417257475895143,-1.0593300823198577,-1.3702676111443908,-1.2690432311976205,-0.192833432777097,1.0362206741958206,-0.17271487552642648
Anthony Black,ORL,-0.5382940766974401,-1.0760648029456645,-1.4276926803658427,-1.064460320614821,1.236967424831751,-1.5232809453483676,-1.4746449044788021,0.18891314523519182,0.8761166908855308,1.2684579065815809,-0.5855085622975731,0.7312688751601442,0.03409122496984495,0.7141076676202405,-0.8337263882812108,1.5092240255358762,-0.9093365100085773,-0.8910061843742644
Antonio Reeves,NOP,0.5357887519431933,-0.7993936696679688,-0.6023633340514611,-0.7868537360077239,-1.1152006459999946,-1.0748270350378082,-0.46930976679200576,-0.05616336750235472,-0.5275008199802742,-0.22767193195053997,-0.13568152487480298,-0.18406087333962814,-0.8291361228904466,-1.77110901090682,-1.0078531254477745,-1.5021084007101535,-0.7703681397082631,-1.8228435580147027
Ausar Thompson,DET,-1.4740829789036571,0.5210821937028541,0.27454909640756847,0.04596601781356578,0.7427375578087384,-0.0882284323545774,-0.20474788845337505,0.14806705977893359,0.17430793545262832,0.7974540685251728,0.7120694302681102,3.1721482044928697,0.26428518439925597,1.9968001468600136,0.5157558247596589,0.9855140383626537,0.6193155632948782,0.8173623339665391
Austin Reaves,LAL,0.3744458377697075,-0.19574756069844906,-0.12092121536807125,0.47162944754444824,1.1362909704381743,2.5128042474466667,1.4355357572461354,1.1487961534572466,1.7182871974050138,0.2987441223477989,1.0580902282856257,-0.18406087333962814,-0.714039143175741,-0.408248251714561,-0.659599651114647,0.9855140383626537,2.1479676365983336,0.7202959408789938
Ayo Dosunmu,CHI,-0.03582614398572762,0.8354812087911456,0.24016037364447113,0.194022862937351,-0.4745322998590522,0.360225477955982,-0.46930976679200576,-0.3216629229680289,0.9884060917547953,0.16021358174297293,-1.3294532780352315,-0.4891707895062191,-0.5413936736036827,-0.408248251714561,-0.9425555990103132,-0.3237609295704026,-0.631399769407949,-0.30860782584899027
