Player,Team,FG%,3P%,2P%,eFG%,TS%,PTS,AST,AST%,TRB%,ORB%,DRB%,BLK%,STL%,TRB%,ORB,DRB,TRB,FTr,3PAr,STL,BLK,TOV,TOV%,USG%,PER,WS,WS/48,BPM,VORP,OBPM,DBPM,DWS,OWS,OnCourt,On-Off,2024-25,Guaranteed,BadPass,LostBall,OnCourt,2024-25_Payroll
Jakob Poeltl,TOR,0.616,0.333,0.618,0.617,0.632,14.2,2.8,14.8,17.5,12.0,23.1,3.8,2.0,17.5,3.3,6.3,9.6,0.261,0.006,1.2,1.2,1.9,14.6,18.5,19.7,4.9,0.151,1.8,1.5,0.6,1.2,2.1,2.8,-1.0,7.8,$19500000,$39000000,46,26,-1.0,169454647
Jalen Duren,DET,0.696,,0.696,0.696,0.708,11.4,2.6,14.1,21.9,14.7,28.9,4.3,1.3,21.9,3.4,6.8,10.3,0.423,0.0,0.7,1.2,1.8,18.1,16.0,21.0,7.7,0.217,2.9,2.1,1.2,1.7,3.0,4.7,1.8,-1.4,$4536840,$11019984,59,28,1.8,141808220
Jalen Pickett,DEN,0.423,0.377,0.48,0.527,0.532,3.3,1.8,19.2,5.5,1.7,8.9,0.7,1.3,5.5,0.2,0.9,1.1,0.018,0.55,0.3,0.1,0.5,13.2,13.7,9.9,0.5,0.059,-2.6,-0.1,-1.7,-0.9,0.2,0.3,6.1,1.8,$1891857,$4113534,10,3,6.1,182574315
Jalen Smith,CHI,0.463,0.332,0.633,0.556,0.59,8.2,1.0,9.1,19.1,9.6,28.5,4.1,0.8,19.1,1.4,4.2,5.6,0.218,0.565,0.3,0.7,0.6,7.9,20.8,18.4,2.5,0.141,0.5,0.6,1.3,-0.7,1.1,1.5,-2.7,0.2,$8571429,$27000000,12,6,-2.7,165919354
Jalen Williams,OKC,0.478,0.362,0.528,0.532,0.568,21.3,5.3,24.0,8.9,2.8,14.8,2.2,2.4,8.9,0.9,4.6,5.5,0.246,0.298,1.7,0.7,2.2,10.5,27.3,20.2,6.9,0.167,4.0,3.0,2.5,1.5,3.8,3.1,10.1,-6.9,$4775760,$11356757,61,57,10.1,164952350
Jalen Wilson,BRK,0.396,0.321,0.495,0.487,0.534,9.1,1.8,10.6,7.2,4.2,10.4,0.2,1.0,7.2,1.0,2.2,3.2,0.261,0.571,0.5,0.0,1.1,11.1,16.3,9.0,1.4,0.038,-4.4,-1.1,-3.0,-1.4,0.8,0.6,-6.8,-0.5,$1891857,$1891857,30,24,-6.8,169054676
Jamal Shead,TOR,0.415,0.335,0.478,0.489,0.507,6.3,3.8,28.6,4.0,2.0,5.9,0.8,1.6,4.0,0.3,1.0,1.3,0.119,0.444,0.6,0.1,1.5,19.5,17.6,9.0,0.3,0.014,-4.6,-0.7,-3.3,-1.2,0.6,-0.2,-9.8,-7.0,$1862265,$3817642,67,12,-9.8,169454647
Jamison Battle,TOR,0.437,0.407,0.526,0.59,0.6,6.1,0.8,7.6,8.2,4.4,12.1,1.1,0.4,8.2,0.6,1.6,2.2,0.061,0.751,0.1,0.2,0.3,6.4,15.6,11.3,1.2,0.083,-1.4,0.1,0.2,-1.6,0.3,0.9,-10.4,-6.6,$1000000,$1000000,8,6,-10.4,169454647
Jarace Walker,IND,0.454,0.365,0.545,0.546,0.562,5.6,1.4,11.3,10.5,2.7,18.3,2.0,2.5,10.5,0.4,2.6,2.9,0.225,0.506,0.8,0.4,1.1,17.9,16.7,10.8,0.8,0.041,-1.8,0.1,-2.7,0.9,1.2,-0.4,-7.7,-12.6,$6362520,$13028040,39,17,-7.7,168569767
Jaren Jackson Jr.,MEM,0.5,0.365,0.561,0.557,0.6,22.5,2.1,10.8,10.3,4.7,15.8,5.0,2.0,10.3,1.3,4.5,5.8,0.347,0.312,1.3,1.6,2.1,10.3,28.4,20.7,6.0,0.157,3.1,2.3,2.1,1.0,2.7,3.2,8.6,6.1,$25257798,$48671193,37,52,8.6,163241293
Javonte Green,NOP,0.446,0.352,0.534,0.531,0.64,5.8,0.9,11.3,15.2,6.7,23.2,2.6,2.4,15.2,1.0,2.6,3.6,0.295,0.636,1.1,0.6,0.6,10.0,21.4,20.4,1.7,0.214,4.1,0.1,3.8,0.4,0.7,1.0,9.5,-1.3,$1728488,$1728488,14,8,9.5,170268065
Jaxson Hayes,LAL,0.716,0.0,0.725,0.716,0.731,6.8,1.1,8.2,13.6,8.4,18.4,4.9,1.5,13.6,1.4,3.3,4.7,0.463,0.012,0.6,1.0,0.8,14.5,12.2,16.3,3.0,0.176,0.4,0.5,-1.4,1.8,1.2,1.9,7.8,7.4,$2463946,$2463946,14,4,7.8,188022153
Jaylen Nowell,NOP,0.356,0.296,0.391,0.411,0.43,8.4,2.3,15.5,6.4,3.7,9.3,2.3,0.3,6.4,0.8,1.8,2.5,0.151,0.37,0.1,0.5,1.0,9.3,21.5,7.6,-0.2,-0.067,-5.8,-0.2,-3.2,-2.6,0.0,-0.2,-12.9,-4.1,$446743,$278782,6,1,-12.9,170268065
Jaylin Williams,OKC,0.399,0.341,0.54,0.52,0.535,5.1,2.3,17.4,17.5,7.0,27.7,4.1,1.2,17.5,1.1,4.3,5.3,0.11,0.711,0.4,0.7,0.7,12.1,14.2,14.5,2.2,0.168,2.9,0.8,0.4,2.5,1.3,0.8,16.2,4.2,$2019699,$2019699,13,5,16.2,164952350
Jeremiah Robinson-Earl,NOP,0.458,0.336,0.564,0.536,0.566,5.7,1.2,9.2,13.6,9.1,18.4,0.7,1.6,13.6,1.5,2.9,4.4,0.177,0.466,0.6,0.1,0.6,11.0,13.8,13.1,1.5,0.076,-2.4,-0.1,-1.0,-1.4,0.4,1.1,-12.7,-5.1,$2196970,$2196970,18,10,-12.7,170268065
Jeremy Sochan,SAS,0.555,0.342,0.606,0.588,0.607,11.5,2.4,14.2,14.1,10.1,18.1,1.8,1.6,14.1,2.4,4.3,6.7,0.266,0.191,0.8,0.5,1.6,14.4,18.7,16.5,2.6,0.106,-0.5,0.4,-0.2,-0.3,0.9,1.7,-2.6,0.3,$5570040,$12666271,31,21,-2.6,161683617
Jett Howard,ORL,0.357,0.295,0.516,0.463,0.477,4.1,0.7,10.2,6.1,3.5,8.9,1.6,1.0,6.1,0.4,0.8,1.2,0.087,0.722,0.2,0.2,0.5,10.2,18.8,7.4,0.2,0.015,-4.5,-0.4,-3.6,-0.9,0.7,-0.5,-6.8,-6.0,$5278320,$10808040,17,6,-6.8,150359238
Jock Landale,HOU,0.483,0.412,0.495,0.513,0.544,4.0,0.8,10.1,15.4,12.5,18.4,2.1,0.9,15.4,1.3,1.8,3.1,0.302,0.147,0.2,0.3,0.4,10.9,15.8,14.6,1.1,0.139,-0.4,0.2,-0.7,0.4,0.5,0.6,-3.6,-9.0,$8000000,$16000000,4,6,-3.6,167805430
John Collins,UTA,0.527,0.399,0.577,0.583,0.628,19.0,2.0,10.8,14.5,8.0,20.8,3.1,1.5,14.5,2.2,6.0,8.2,0.309,0.279,1.0,1.0,2.6,14.6,24.1,19.0,2.7,0.107,1.1,1.0,1.4,-0.3,1.0,1.7,-0.3,11.4,$26580000,$26580000,36,34,-0.3,153559613
John Konchar,MEM,0.44,0.346,0.652,0.56,0.579,2.5,0.9,8.5,14.6,7.4,21.5,2.6,1.7,14.6,0.8,2.5,3.4,0.107,0.693,0.5,0.4,0.4,15.1,8.2,11.2,1.1,0.12,0.6,0.3,-1.0,1.6,0.7,0.5,5.4,-0.6,$6165000,$18495000,6,6,5.4,163241293
Jonathan Kuminga,GSW,0.455,0.331,0.499,0.498,0.536,16.3,2.3,14.2,9.9,5.4,14.7,1.9,1.6,9.9,1.3,3.4,4.8,0.422,0.262,0.9,0.5,1.6,9.3,27.5,16.0,1.6,0.082,-0.1,0.4,0.0,-0.1,1.1,0.4,0.5,-3.2,$7636307,$7636307,26,19,0.5,175759694
Jonathan Mogbo,TOR,0.442,0.298,0.478,0.472,0.507,5.3,1.6,12.2,12.5,9.3,15.7,2.7,2.0,12.5,1.6,2.6,4.2,0.277,0.203,0.8,0.5,0.9,14.5,14.1,11.5,1.3,0.069,-1.9,0.0,-2.7,0.8,1.0,0.3,-10.9,-7.9,$1862265,$3817642,18,12,-10.9,169454647
Jordan Clarkson,UTA,0.41,0.367,0.448,0.496,0.542,16.5,3.8,22.9,6.6,3.0,10.1,0.8,1.6,6.6,0.7,2.5,3.2,0.291,0.469,0.9,0.2,2.2,12.7,27.5,15.1,0.8,0.041,-1.0,0.2,0.9,-2.0,0.3,0.5,-11.1,-4.9,$14092577,$28378291,34,30,-11.1,153559613
Jordan Hawkins,NOP,0.371,0.332,0.425,0.468,0.5,10.6,1.1,7.1,6.1,2.0,10.4,1.8,1.2,6.1,0.5,2.2,2.6,0.165,0.588,0.6,0.4,1.0,8.5,20.8,9.7,-0.5,-0.019,-5.3,-1.0,-2.4,-2.9,0.1,-0.6,-12.8,-5.9,$4525680,$9267000,21,20,-12.8,170268065
Jordan Poole,WAS,0.424,0.377,0.49,0.534,0.582,20.8,4.6,25.3,5.5,1.7,9.3,1.3,2.2,5.5,0.5,2.7,3.2,0.266,0.58,1.4,0.5,3.2,15.1,28.7,16.2,1.6,0.043,0.2,0.9,1.5,-1.4,0.8,0.7,-13.8,-5.1,$29651786,$95544643,92,55,-13.8,167683313
Jose Alvarado,NOP,0.399,0.374,0.441,0.516,0.537,9.6,4.6,27.3,5.2,1.9,8.7,1.0,2.7,5.2,0.4,1.9,2.3,0.131,0.625,1.4,0.2,1.1,11.2,17.8,14.2,1.7,0.075,-0.5,0.4,-0.2,-0.3,0.4,1.2,-6.9,3.1,$1988598,$6488598,37,9,-6.9,170268065
Josh Giddey,CHI,0.462,0.376,0.511,0.53,0.566,13.8,6.7,31.6,13.5,6.1,20.7,1.9,1.7,13.5,1.7,6.0,7.7,0.252,0.36,1.1,0.6,2.8,18.4,21.0,17.1,3.9,0.106,2.2,1.9,1.4,0.8,1.9,2.0,-2.5,0.8,$8352367,$8352367,108,39,-2.5,165919354
Julian Champagnie,SAS,0.415,0.361,0.559,0.546,0.572,9.6,1.3,7.9,8.7,3.7,13.7,1.7,1.6,8.7,0.8,3.0,3.8,0.13,0.726,0.8,0.4,0.9,9.5,16.9,12.0,1.9,0.059,-1.4,0.2,-0.5,-0.9,1.0,1.0,0.0,5.5,$3000000,$3000000,29,15,0.0,161683617
Julian Phillips,CHI,0.443,0.333,0.568,0.532,0.571,4.6,0.5,4.5,7.8,6.9,8.6,1.7,1.6,7.8,0.9,1.2,2.1,0.295,0.532,0.5,0.3,0.4,8.2,13.2,10.4,1.5,0.078,-3.1,-0.3,-2.5,-0.6,0.6,0.9,-1.2,2.3,$1891857,$4113534,7,8,-1.2,165919354
Julian Strawther,DEN,0.434,0.357,0.531,0.534,0.563,9.4,1.3,7.6,5.4,1.4,9.0,1.0,1.3,5.4,0.3,1.9,2.2,0.174,0.557,0.6,0.2,0.9,10.1,17.7,9.5,1.2,0.044,-4.6,-0.9,-3.1,-1.5,0.7,0.5,-1.6,-10.2,$2552520,$5226720,22,17,-1.6,182574315
Julius Randle,MIN,0.474,0.325,0.546,0.527,0.584,18.7,4.7,22.6,12.1,7.5,16.6,0.6,1.0,12.1,2.2,4.9,7.1,0.385,0.326,0.7,0.2,2.8,15.0,25.3,17.4,5.0,0.129,1.0,1.4,1.3,-0.4,2.1,2.9,3.9,-0.9,$33073920,$33073920,64,53,3.9,202492182
Justin Edwards,PHI,0.45,0.348,0.575,0.546,0.557,8.6,1.4,8.5,7.1,4.5,10.0,1.3,1.7,7.1,1.0,2.1,3.1,0.108,0.55,0.9,0.3,0.9,10.2,15.3,10.5,0.8,0.045,-3.8,-0.4,-2.2,-1.6,0.4,0.4,-11.2,-8.1,$425619,$425619,11,15,-11.2,169007888
Karlo Matković,NOP,0.556,0.333,0.638,0.601,0.627,6.4,0.9,7.2,14.5,9.5,19.8,5.4,1.3,14.5,1.6,3.2,4.8,0.208,0.271,0.5,1.0,1.0,16.9,14.3,14.2,1.0,0.082,-3.1,-0.2,-2.8,-0.3,0.4,0.6,-8.0,1.2,$1407153,$3362530,17,4,-8.0,170268065
Keegan Murray,SAC,0.44,0.333,0.564,0.53,0.546,12.3,1.4,5.5,10.9,6.5,15.4,2.4,1.1,10.9,2.0,4.8,6.8,0.095,0.537,0.8,0.8,0.8,6.8,15.0,11.6,3.6,0.078,-2.1,-0.1,-1.1,-1.0,1.7,1.9,1.8,2.4,$8809560,$19953653,18,22,1.8,168263796
Keldon Johnson,SAS,0.486,0.332,0.573,0.546,0.58,12.6,1.5,9.6,10.2,6.2,14.3,0.9,1.3,10.2,1.4,3.2,4.5,0.263,0.362,0.6,0.2,1.0,8.2,21.3,15.4,2.7,0.085,-1.6,0.1,0.1,-1.7,0.8,1.9,-6.5,-7.0,$19000000,$54000000,26,21,-6.5,161683617
Kelly Oubre Jr.,PHI,0.47,0.293,0.555,0.518,0.551,15.1,1.8,8.0,10.1,5.1,15.6,1.4,2.2,10.1,1.6,4.5,6.1,0.25,0.327,1.5,0.5,1.3,8.9,19.0,13.6,2.8,0.066,-2.2,-0.1,-1.6,-0.6,1.5,1.3,-5.6,-1.4,$7983000,$7983000,28,37,-5.6,169007888
Kenrich Williams,OKC,0.48,0.367,0.597,0.573,0.588,5.6,1.2,10.6,11.8,6.8,16.6,0.8,1.9,11.8,0.9,2.4,3.3,0.103,0.508,0.6,0.1,0.5,10.2,15.0,13.6,2.6,0.153,0.6,0.5,-0.5,1.0,1.4,1.2,16.6,5.0,$6669000,$13832000,11,12,16.6,164952350
Kentavious Caldwell-Pope,ORL,0.428,0.319,0.585,0.522,0.556,8.7,1.8,8.5,4.0,1.3,7.0,1.5,2.2,4.0,0.4,1.7,2.1,0.177,0.589,1.3,0.5,0.8,9.6,12.5,9.2,3.4,0.083,-2.2,-0.1,-3.6,1.4,2.5,0.8,-1.1,2.0,$22757000,$44378500,35,11,-1.1,150359238
Keon Ellis,SAC,0.484,0.43,0.6,0.631,0.656,8.2,1.4,7.7,6.0,3.6,8.4,3.3,3.0,6.0,0.7,1.7,2.5,0.183,0.683,1.4,0.8,0.8,11.5,13.2,13.8,3.9,0.125,1.9,1.5,0.1,1.8,1.7,2.2,4.4,6.2,$2120693,$2120693,31,12,4.4,168263796
Keon Johnson,BRK,0.379,0.307,0.453,0.457,0.486,10.2,2.0,13.4,9.0,4.0,14.4,1.7,2.2,9.0,0.9,2.9,3.7,0.165,0.511,1.0,0.4,1.3,11.0,21.6,10.3,0.4,0.013,-3.5,-0.6,-3.2,-0.2,1.5,-1.1,-9.6,-5.9,$2162606,$2162606,44,31,-9.6,169054676
Kevon Looney,GSW,0.514,0.0,0.52,0.514,0.529,4.8,1.6,14.8,22.2,17.8,26.9,3.0,2.0,22.2,2.6,3.8,6.4,0.341,0.012,0.7,0.5,0.6,11.4,14.0,17.3,3.6,0.179,0.1,0.5,-1.0,1.1,1.8,1.8,4.0,1.6,$8000000,$8000000,12,9,4.0,175759694
Keyonte George,UTA,0.395,0.343,0.462,0.491,0.542,16.8,5.8,28.0,6.5,1.4,11.5,0.5,1.1,6.5,0.4,3.4,3.8,0.315,0.558,0.7,0.2,2.8,15.4,24.4,13.3,1.3,0.036,-2.1,0.0,0.1,-2.2,0.3,1.0,-10.6,-6.1,$4084200,$8363160,84,44,-10.6,153559613
Kobe Bufkin,ATL,0.383,0.211,0.5,0.426,0.483,5.3,1.7,18.4,9.2,4.3,14.5,1.5,1.1,9.2,0.5,1.6,2.1,0.383,0.404,0.3,0.2,0.8,12.7,20.8,10.6,0.0,0.018,-4.1,-0.1,-3.5,-0.6,0.1,0.0,-9.5,-7.7,$4299000,$8802720,4,2,-9.5,167769541
Kris Dunn,LAC,0.425,0.299,0.551,0.5,0.504,6.0,3.0,16.8,8.1,3.8,12.4,1.6,3.7,8.1,0.8,2.7,3.5,0.051,0.499,1.8,0.4,1.0,14.8,12.7,11.1,3.0,0.098,0.4,0.9,-3.2,3.5,2.6,0.4,5.1,3.9,$5168000,$10594400,36,15,5.1,169670454
Kris Murray,POR,0.442,0.247,0.578,0.493,0.491,4.1,0.9,8.6,9.5,7.9,11.0,1.4,1.9,9.5,1.1,1.4,2.5,0.212,0.41,0.5,0.2,0.6,11.9,13.9,9.9,0.7,0.041,-2.5,-0.1,-2.5,0.0,0.6,0.1,-1.7,3.0,$2990040,$6122040,14,12,-1.7,167086613
Kristaps Porziņģis,BOS,0.483,0.391,0.553,0.568,0.614,19.3,1.9,10.4,12.8,5.7,19.9,5.1,1.4,12.8,1.5,5.3,6.8,0.341,0.435,0.8,1.6,1.2,7.3,25.5,22.1,4.2,0.202,4.4,1.6,3.2,1.2,1.7,2.5,3.4,-7.0,$29268293,$60000000,13,10,3.4,193336448
Landry Shamet,NYK,0.467,0.368,0.596,0.571,0.573,4.1,0.5,5.0,4.6,1.6,7.6,0.4,2.0,4.6,0.2,0.9,1.0,0.075,0.567,0.5,0.1,0.4,10.1,13.5,8.7,0.5,0.05,-2.8,-0.1,-3.1,0.4,0.3,0.1,6.8,2.6,$1343690,$1343690,9,3,6.8,188375874
Larry Nance Jr.,ATL,0.516,0.447,0.582,0.626,0.632,8.5,1.6,11.4,12.1,5.3,19.4,2.6,2.0,12.1,1.0,3.3,4.3,0.084,0.49,0.8,0.5,0.7,9.1,15.6,16.0,1.3,0.13,1.6,0.4,1.0,0.6,0.5,0.8,-8.9,-7.9,$11205000,$11205000,12,0,-8.9,167769541
Lonzo Ball,CHI,0.366,0.344,0.458,0.504,0.524,7.6,3.3,19.2,7.9,3.4,12.4,1.9,2.8,7.9,0.7,2.7,3.4,0.111,0.802,1.3,0.5,1.2,13.9,15.9,12.2,1.2,0.072,-0.1,0.4,-1.6,1.6,0.9,0.3,6.5,12.4,$21395348,$31395348,34,3,6.5,165919354
Luguentz Dort,OKC,0.424,0.396,0.488,0.561,0.572,9.9,1.6,6.9,7.7,5.1,10.2,2.0,1.8,7.7,1.4,2.8,4.2,0.085,0.69,1.1,0.6,0.7,7.6,13.6,11.1,4.7,0.126,-0.2,0.8,-0.8,0.7,2.8,1.9,13.1,0.7,$16500000,$34222222,18,12,13.1,164952350
Luke Kennard,MEM,0.482,0.446,0.537,0.617,0.639,9.5,3.4,19.3,6.5,2.9,10.1,0.4,1.5,6.5,0.6,2.2,2.8,0.137,0.608,0.7,0.1,1.1,13.3,15.2,14.5,3.5,0.139,1.7,1.1,1.7,0.0,1.0,2.5,5.1,-1.1,$9250000,$9250000,40,16,5.1,163241293
Luke Kornet,BOS,0.667,0.0,0.673,0.667,0.686,5.2,1.6,11.9,15.1,14.3,15.9,4.9,1.4,15.1,2.4,2.6,5.0,0.404,0.01,0.5,1.0,0.4,10.4,10.4,18.6,5.3,0.234,3.0,1.4,1.1,1.9,1.7,3.6,11.6,4.8,$2087519,$2087519,11,6,11.6,193336448
Malcolm Brogdon,WAS,0.433,0.286,0.478,0.467,0.544,12.7,4.1,27.2,8.4,3.9,13.0,0.8,1.1,8.4,0.9,2.9,3.8,0.383,0.233,0.5,0.2,1.6,11.9,23.6,15.7,0.8,0.065,-1.6,0.1,-0.1,-1.5,0.2,0.6,-9.8,2.1,$22500000,$22500000,20,17,-9.8,167683313
Malik Beasley,DET,0.439,0.418,0.494,0.589,0.597,16.2,1.7,9.2,5.5,2.3,8.6,0.2,1.7,5.5,0.6,2.2,2.7,0.125,0.718,1.0,0.1,1.1,7.6,22.6,14.8,4.2,0.107,1.1,1.5,2.1,-0.9,1.8,2.4,3.1,1.4,$6000000,$6000000,40,25,3.1,141808220
Marcus Sasser,DET,0.462,0.367,0.571,0.56,0.582,5.7,2.2,22.9,4.7,2.6,6.8,0.6,2.2,4.7,0.3,0.8,1.1,0.138,0.533,0.6,0.1,0.8,14.7,18.2,13.3,1.5,0.11,-0.5,0.3,-0.7,0.3,0.7,0.8,1.7,-0.9,$2755080,$5641800,21,14,1.7,141808220
Max Strus,CLE,0.429,0.385,0.6,0.582,0.599,9.4,3.1,15.5,9.5,4.4,14.3,0.9,1.1,9.5,1.0,3.4,4.4,0.095,0.796,0.6,0.3,0.9,10.5,14.9,13.0,2.8,0.139,2.0,1.0,1.5,0.5,1.1,1.8,9.9,-1.4,$15212068,$47809356,20,10,9.9,169080163
Michael Porter Jr.,DEN,0.502,0.398,0.59,0.593,0.613,18.3,2.1,8.6,11.4,6.1,16.1,1.2,0.9,11.4,1.8,5.2,7.0,0.183,0.457,0.6,0.4,1.3,7.8,20.2,16.3,5.6,0.12,-0.2,1.0,1.7,-1.9,1.5,4.1,5.9,4.4,$35859950,$86193000,36,32,5.9,182574315
Miles McBride,NYK,0.411,0.376,0.456,0.517,0.539,9.4,2.8,14.8,5.8,3.5,8.0,1.1,2.0,5.8,0.8,1.8,2.5,0.127,0.564,1.0,0.3,0.7,7.1,16.6,12.6,2.9,0.098,0.1,0.7,-0.2,0.3,1.2,1.7,8.7,7.1,$4710144,$13000000,19,11,8.7,188375874
Mitchell Robinson,NYK,0.654,,0.654,0.654,0.674,4.8,0.5,4.0,17.3,19.8,14.8,4.3,3.4,17.3,2.8,2.1,4.9,0.192,0.0,1.1,0.8,0.6,15.1,11.2,18.8,0.5,0.199,2.1,0.1,0.6,1.5,0.2,0.3,15.7,11.6,$14318182,$27272728,3,1,15.7,188375874
Moritz Wagner,ORL,0.562,0.36,0.649,0.616,0.649,12.9,1.4,13.9,15.1,7.7,23.4,2.0,2.1,15.1,1.3,3.6,4.9,0.442,0.301,0.8,0.4,1.6,14.1,26.8,22.3,2.0,0.171,3.9,0.8,2.6,1.3,1.0,1.0,-3.0,-1.3,$11000000,$11000000,12,17,-3.0,150359238
Moses Brown,DAL,0.724,,0.724,0.724,0.743,11.8,0.5,4.7,23.0,12.0,33.6,3.5,2.7,23.0,2.0,5.8,7.8,0.25,0.0,1.0,0.8,1.3,21.3,26.5,26.4,0.4,0.227,3.6,0.1,2.0,1.5,0.2,0.2,-0.5,-0.1,$306660,$306660,5,0,-0.5,175238530
Mouhamed Gueye,ATL,0.417,0.25,0.6,0.483,0.511,6.0,0.8,6.2,10.9,5.5,16.7,6.4,2.9,10.9,0.9,2.4,3.3,0.183,0.522,1.0,1.1,0.4,6.8,15.9,13.5,0.6,0.088,-0.2,0.2,-2.1,1.9,0.5,0.1,1.2,3.7,$1891857,$1891857,3,4,1.2,167769541
Myles Turner,IND,0.473,0.393,0.545,0.566,0.601,15.5,1.6,7.3,11.8,4.5,19.0,5.4,1.3,11.8,1.2,5.2,6.4,0.274,0.476,0.8,1.8,1.7,11.8,20.7,15.5,3.4,0.09,-0.2,0.8,-0.3,0.1,2.1,1.3,3.3,4.7,$19928500,$19928500,35,29,3.3,168569767
Naji Marshall,DAL,0.495,0.277,0.605,0.541,0.578,12.7,2.9,15.8,9.5,4.6,14.3,0.5,2.0,9.5,1.1,3.6,4.7,0.218,0.336,1.1,0.1,1.6,12.4,20.2,15.3,2.8,0.089,-0.6,0.5,-0.3,-0.3,1.2,1.6,-2.1,-3.0,$8571429,$27000000,48,26,-2.1,175238530
Naz Reid,MIN,0.462,0.387,0.537,0.559,0.58,14.7,2.2,12.2,12.1,4.6,19.5,3.2,1.4,12.1,1.2,5.0,6.1,0.158,0.5,0.8,1.0,1.4,9.8,21.8,16.1,5.0,0.126,1.8,1.8,0.9,0.9,2.9,2.1,6.9,6.0,$13986432,$13986432,41,31,6.9,202492182
Neemias Queta,BOS,0.644,0.0,0.655,0.644,0.668,5.1,0.6,6.3,14.8,11.0,18.6,4.2,1.0,14.8,1.5,2.5,3.9,0.311,0.017,0.3,0.7,0.7,15.2,13.6,15.4,2.6,0.165,-1.5,0.1,-2.2,0.7,1.1,1.5,11.5,4.1,$2162606,$2162606,5,8,11.5,193336448
Nickeil Alexander-Walker,MIN,0.444,0.393,0.522,0.562,0.583,9.3,2.5,14.2,7.0,2.6,11.3,1.4,1.2,7.0,0.6,2.6,3.2,0.163,0.6,0.6,0.4,1.2,13.2,15.8,11.2,3.3,0.091,-0.8,0.5,-1.0,0.2,1.9,1.5,6.2,3.9,$4312500,$4312500,62,16,6.2,202492182
Nikola Jović,MIA,0.456,0.371,0.563,0.56,0.595,10.7,2.8,17.1,8.6,2.5,14.5,1.1,1.6,8.6,0.6,3.3,3.9,0.231,0.557,0.8,0.3,1.3,12.6,18.3,13.8,2.4,0.098,0.0,0.6,-0.4,0.4,1.2,1.2,-1.3,0.5,$2464200,$6909617,29,14,-1.3,173088172
Norman Powell,LAC,0.49,0.423,0.547,0.587,0.626,23.2,2.1,10.8,5.9,1.2,10.4,0.5,1.9,5.9,0.4,3.0,3.4,0.288,0.459,1.3,0.2,2.0,9.7,27.3,19.0,4.5,0.139,2.5,1.8,2.7,-0.2,1.8,2.7,6.1,6.1,$19241379,$39724137,38,36,6.1,169670454
Ochai Agbaji,TOR,0.503,0.399,0.597,0.598,0.605,10.1,1.5,7.9,7.3,3.4,11.4,1.8,1.5,7.3,0.9,2.8,3.7,0.102,0.472,0.8,0.5,0.8,8.4,14.2,12.0,2.6,0.084,-0.5,0.5,-0.6,0.1,1.1,1.5,-6.4,-2.3,$4310280,$10693805,15,14,-6.4,169454647
Olivier-Maxence Prosper,DAL,0.402,0.235,0.472,0.437,0.484,3.9,0.8,9.1,11.7,8.3,15.0,0.9,2.2,11.7,0.8,1.6,2.4,0.437,0.293,0.5,0.1,0.3,6.3,16.3,12.6,0.9,0.073,-2.2,0.0,-1.6,-0.6,0.5,0.4,-7.4,-8.5,$2870400,$5877480,6,3,-7.4,175238530
Orlando Robinson,TOR,0.434,0.269,0.466,0.456,0.512,7.4,1.9,20.6,15.4,12.8,21.6,2.4,2.6,15.4,2.3,3.2,5.5,0.412,0.294,0.4,0.5,1.2,16.6,18.3,13.0,0.7,0.067,-2.9,0.0,-2.6,1.2,0.5,0.2,5.7,4.7,$1199723,$959779,9,14,5.7,169454647
Ousmane Dieng,OKC,0.432,0.324,0.574,0.524,0.538,3.8,0.8,9.7,10.7,4.8,16.3,1.7,2.0,10.7,0.5,1.7,2.2,0.128,0.568,0.5,0.2,0.5,12.0,15.7,11.5,0.9,0.105,-1.1,0.1,-2.1,1.0,0.7,0.2,6.0,-7.7,$5027040,$11697922,10,4,6.0,164952350
P.J. Washington,DAL,0.439,0.368,0.478,0.504,0.542,14.3,2.3,10.2,13.7,5.5,21.7,2.8,1.8,13.7,1.6,6.6,8.2,0.282,0.357,1.2,1.0,1.9,12.7,20.1,14.0,2.1,0.067,-0.8,0.5,-1.1,0.4,1.8,0.3,3.3,7.0,$15500000,$29652174,29,46,3.3,175238530
Paolo Banchero,ORL,0.444,0.325,0.496,0.493,0.544,25.1,4.7,26.1,12.2,3.5,22.0,2.0,1.2,12.2,1.1,6.1,7.2,0.432,0.304,0.8,0.7,2.8,10.9,33.1,19.6,2.5,0.099,3.4,1.7,3.3,0.1,1.8,0.7,-4.5,-4.0,$12160800,$27495569,50,40,-4.5,150359238
Pat Connaughton,MIL,0.427,0.323,0.545,0.513,0.538,4.2,1.6,14.8,9.5,4.1,14.5,1.8,0.6,9.5,0.5,2.0,2.6,0.162,0.53,0.2,0.3,0.6,13.2,13.6,10.1,0.7,0.074,-2.4,0.0,-1.9,-0.5,0.4,0.3,-2.1,-4.5,$9423869,$9423869,15,4,-2.1,182600201
Pelle Larsson,MIA,0.441,0.319,0.562,0.521,0.549,4.0,0.9,10.1,6.2,3.4,8.9,0.7,1.5,6.2,0.4,1.1,1.5,0.297,0.497,0.4,0.1,0.4,8.9,13.6,8.8,0.9,0.07,-4.6,-0.4,-4.5,0.0,0.5,0.4,1.0,3.2,$1157153,$1157153,12,2,1.0,173088172
