Player,Team,FG%,3P%,2P%,eFG%,TS%,PTS,AST,AST%,TRB%,ORB%,DRB%,BLK%,STL%,TRB%,ORB,DRB,TRB,FTr,3PAr,STL,BLK,TOV,TOV%,USG%,PER,WS,WS/48,BPM,VORP,OBPM,DBPM,DWS,OWS,OnCourt,On-Off,2024-25,Guaranteed,BadPass,LostBall,OnCourt,2024-25_Payroll
Bismack Biyombo,SAS,0.679,,0.679,0.679,0.654,5.2,1.2,9.1,14.7,8.3,21.1,4.1,1.9,14.7,1.4,3.5,4.9,0.304,0.0,0.7,0.8,0.9,19.1,11.8,14.0,0.6,0.1,-2.5,0.0,-2.7,0.2,0.3,0.3,-12.4,-10.5,$143967,$287934,5,4,-12.4,161683617
Bobby Portis,MIL,0.463,0.364,0.505,0.517,0.538,13.7,2.2,13.7,17.8,8.0,26.8,2.0,1.3,17.8,1.8,6.5,8.3,0.12,0.296,0.7,0.5,1.2,8.7,24.1,17.5,2.5,0.103,0.0,0.6,0.4,-0.4,1.8,0.7,2.0,0.5,$12578286,$12578286,22,14,2.0,182600201
Brandin Podziemski,GSW,0.431,0.327,0.527,0.51,0.533,10.3,3.4,19.0,10.3,4.2,16.6,0.9,2.0,10.3,1.0,3.9,4.9,0.166,0.481,1.1,0.2,1.1,10.2,17.7,13.7,2.9,0.107,0.2,0.7,-0.8,1.0,1.7,1.2,6.7,6.3,$3519960,$7207920,31,15,6.7,175759694
Brandon Clarke,MEM,0.623,0.059,0.649,0.624,0.64,8.5,1.0,7.4,14.3,11.4,17.2,2.7,2.0,14.3,2.0,3.1,5.2,0.23,0.045,0.8,0.6,0.7,8.9,15.3,17.6,4.5,0.178,1.0,0.9,0.1,0.9,1.7,2.8,8.8,4.6,$12500000,$37500000,14,13,8.8,163241293
Brice Sensabaugh,UTA,0.455,0.402,0.536,0.576,0.599,10.0,1.4,11.4,7.9,3.3,12.3,0.4,1.5,7.9,0.6,2.2,2.7,0.118,0.601,0.6,0.1,1.5,15.0,21.7,12.6,0.8,0.033,-1.9,0.0,-0.3,-1.6,0.3,0.4,-11.3,-5.6,$2571480,$5265240,51,18,-11.3,153559613
CJ McCollum,NOP,0.442,0.376,0.498,0.528,0.549,20.9,4.0,20.4,6.2,2.4,10.2,1.3,1.1,6.2,0.8,3.0,3.8,0.175,0.459,0.8,0.5,1.8,8.7,26.9,15.8,1.5,0.043,-1.3,0.3,1.3,-2.6,0.1,1.4,-7.9,2.4,$33333333,$63999999,60,28,-7.9,170268065
Caleb Houstan,ORL,0.367,0.355,0.444,0.52,0.544,3.2,0.4,5.0,4.6,2.7,6.8,0.6,1.1,4.6,0.3,0.6,0.9,0.109,0.859,0.3,0.1,0.1,4.3,11.7,7.3,0.9,0.079,-4.0,-0.3,-3.6,-0.3,0.5,0.4,-10.8,-10.5,$2019699,$2019699,2,2,-10.8,150359238
Cam Thomas,BRK,0.438,0.349,0.506,0.513,0.575,24.0,3.8,22.8,6.1,2.1,10.4,0.3,1.0,6.1,0.6,2.7,3.3,0.333,0.43,0.6,0.1,2.5,10.6,32.6,18.2,1.2,0.076,0.2,0.4,2.9,-2.7,0.3,0.9,-7.2,-0.8,$4041249,$4041249,21,27,-7.2,169054676
Cameron Johnson,BRK,0.476,0.398,0.571,0.586,0.635,18.9,3.2,17.0,7.7,3.3,12.6,1.5,1.5,7.7,0.9,3.3,4.3,0.299,0.549,1.0,0.5,1.7,10.1,22.8,18.3,4.9,0.141,3.1,2.2,3.5,-0.4,1.2,3.8,-5.8,1.6,$22500000,$65543478,48,31,-5.8,169054676
Cameron Payne,NYK,0.408,0.363,0.47,0.514,0.54,6.8,2.7,25.5,5.5,1.6,9.3,1.5,1.9,5.5,0.2,1.2,1.4,0.127,0.584,0.5,0.2,0.7,9.9,21.2,14.5,2.0,0.109,0.3,0.5,0.4,0.0,0.8,1.2,9.7,7.0,$2087519,$2087519,19,13,9.7,188375874
Cason Wallace,OKC,0.467,0.348,0.559,0.543,0.555,8.2,2.5,11.2,6.7,4.1,9.3,1.9,3.1,6.7,1.0,2.4,3.5,0.071,0.438,1.7,0.5,0.8,10.3,12.6,12.0,4.4,0.13,0.8,1.1,-1.8,2.5,3.0,1.4,10.9,-3.7,$5555880,$11376120,27,15,10.9,164952350
Charles Bassey,SAS,0.586,,0.586,0.586,0.601,4.6,0.5,6.9,22.2,16.5,27.9,7.1,1.9,22.2,1.6,2.8,4.4,0.284,0.0,0.4,0.9,0.7,15.0,18.0,19.8,1.1,0.141,-0.7,0.1,-1.3,0.6,0.6,0.5,-14.7,-13.5,$2087519,$2087519,6,9,-14.7,161683617
Chet Holmgren,OKC,0.5,0.358,0.575,0.562,0.602,15.0,1.9,9.7,16.8,7.1,26.1,9.4,1.4,16.8,1.8,6.8,8.5,0.397,0.346,0.8,2.5,1.8,12.7,22.3,20.5,2.3,0.184,3.5,0.8,1.2,2.3,1.5,0.8,15.7,3.6,$10880640,$24612008,6,27,15.7,164952350
Chris Boucher,TOR,0.492,0.363,0.633,0.586,0.615,10.0,0.7,5.9,14.1,8.7,19.6,2.8,1.3,14.1,1.4,3.1,4.5,0.235,0.522,0.5,0.5,0.6,6.6,21.3,18.8,2.6,0.145,2.2,0.9,3.0,-0.8,0.9,1.7,-0.6,6.0,$10810000,$10810000,10,10,-0.6,169454647
Christian Braun,DEN,0.572,0.39,0.64,0.625,0.658,15.2,2.4,9.4,8.3,4.3,11.9,1.4,1.6,8.3,1.2,3.8,5.0,0.266,0.27,1.1,0.5,1.0,7.8,15.8,15.9,6.7,0.143,0.2,1.2,0.7,-0.5,1.6,5.1,8.4,11.9,$3089640,$8011437,33,15,8.4,182574315
Chuma Okeke,PHI,0.5,0.25,1.0,0.583,0.583,2.3,0.7,7.8,13.1,12.5,13.6,0.0,2.8,13.1,1.3,1.3,2.7,0.0,0.667,0.7,0.0,0.3,14.3,8.8,12.8,0.1,0.102,-1.2,0.0,0.5,-1.7,0.0,0.0,-6.6,-1.5,$119972,$119972,0,1,-6.6,169007888
Clint Capela,ATL,0.559,0.0,0.56,0.559,0.564,8.9,1.1,7.5,21.7,15.6,28.1,4.1,1.3,21.7,3.2,5.4,8.5,0.249,0.003,0.6,1.0,0.9,9.8,16.7,17.8,3.2,0.131,-1.2,0.3,-0.6,-0.5,1.5,1.7,-3.1,-1.4,$22265280,$22265280,17,9,-3.1,167769541
Coby White,CHI,0.436,0.356,0.532,0.533,0.58,19.5,4.5,19.7,5.6,1.0,10.1,0.5,1.4,5.6,0.3,3.2,3.6,0.238,0.545,1.0,0.2,2.3,12.2,24.1,14.4,2.8,0.066,-1.7,0.2,-0.1,-1.5,1.1,1.6,-4.9,-5.3,$12000000,$24888889,63,46,-4.9,165919354
Cole Anthony,ORL,0.423,0.349,0.47,0.49,0.527,9.6,2.9,26.0,9.4,4.1,15.4,2.3,1.8,9.4,0.7,2.3,3.0,0.209,0.384,0.7,0.4,1.6,15.1,25.1,13.9,1.5,0.065,-0.4,0.5,-1.1,0.7,1.7,-0.2,-2.0,-0.2,$12900000,$26000000,59,25,-2.0,150359238
Collin Sexton,UTA,0.47,0.397,0.504,0.534,0.585,18.1,4.2,24.8,5.5,4.1,6.9,0.3,1.1,5.5,1.1,1.8,2.9,0.289,0.322,0.7,0.1,2.6,14.5,26.7,16.0,2.0,0.064,-0.9,0.4,1.5,-2.4,0.1,1.9,-4.0,6.3,$18350000,$37525000,61,57,-4.0,153559613
Dalano Banton,POR,0.413,0.359,0.455,0.492,0.524,7.7,2.1,21.3,6.7,2.6,10.9,2.7,2.2,6.7,0.4,1.5,1.9,0.261,0.438,0.7,0.4,1.2,13.7,23.8,14.3,0.9,0.052,0.4,0.5,0.4,0.0,0.8,0.1,-1.5,3.2,$2196970,$2019706,33,20,-1.5,167086613
Dalen Terry,CHI,0.47,0.338,0.548,0.533,0.562,4.2,1.2,12.7,6.0,4.3,7.7,1.6,1.9,6.0,0.5,0.9,1.4,0.305,0.37,0.5,0.2,0.6,14.7,14.6,10.0,0.9,0.058,-3.7,-0.3,-3.7,0.1,0.6,0.4,-11.0,-10.6,$3510480,$8909598,20,9,-11.0,165919354
Daniel Gafford,DAL,0.699,,0.699,0.699,0.716,12.3,1.4,10.1,17.0,13.7,20.2,7.4,0.9,17.0,2.7,4.1,6.9,0.478,0.0,0.4,1.9,1.2,12.2,19.2,24.6,5.4,0.23,3.7,1.6,2.5,1.2,1.4,3.9,1.8,3.4,$13394160,$27780480,15,20,1.8,175238530
Dante Exum,DAL,0.48,0.447,0.5,0.564,0.591,9.1,2.8,20.8,4.7,1.3,8.1,0.7,1.7,4.7,0.2,1.4,1.7,0.248,0.376,0.7,0.2,1.1,12.1,19.6,14.1,0.7,0.092,-2.0,0.0,-1.0,-1.0,0.2,0.5,-7.9,-8.4,$3150000,$3150000,13,2,-7.9,175238530
Dario Šarić,DEN,0.339,0.269,0.4,0.402,0.43,3.5,1.5,12.7,13.2,7.9,18.1,0.4,1.7,13.2,0.9,2.3,3.3,0.179,0.464,0.5,0.1,0.9,18.8,15.5,7.4,0.0,-0.002,-4.9,-0.1,-4.4,-0.5,0.2,-0.2,-10.0,-15.4,$5168000,$5168000,9,3,-10.0,182574315
David Roddy,ATL,0.473,0.372,0.56,0.559,0.594,4.5,1.1,19.0,17.7,7.6,28.8,2.1,3.4,17.7,0.4,2.2,2.6,0.237,0.579,0.4,0.3,0.7,16.3,30.2,19.3,0.5,0.07,2.8,0.1,3.2,0.4,0.4,0.2,12.5,17.8,$2967212,$2847240,11,8,12.5,167769541
Day'Ron Sharpe,BRK,0.523,0.275,0.562,0.542,0.573,8.1,1.8,16.4,21.1,18.6,23.8,4.7,2.2,21.1,3.0,3.6,6.6,0.248,0.134,0.8,0.9,1.3,15.4,20.3,20.2,2.6,0.148,0.7,0.6,0.1,0.6,1.2,1.4,1.6,10.9,$3989122,$3989122,20,15,1.6,169054676
De'Andre Hunter,CLE,0.496,0.486,0.531,0.628,0.68,19.0,1.5,7.9,9.2,3.3,14.8,1.0,1.4,9.2,0.7,3.5,4.2,0.429,0.541,0.8,0.3,1.6,9.4,24.2,16.8,3.7,0.19,2.8,0.8,2.9,-0.1,1.0,2.7,15.2,4.9,$21696429,$69910714,24,29,15.2,169080163
De'Anthony Melton,GSW,0.407,0.371,0.474,0.528,0.539,10.3,2.8,21.0,8.8,5.2,12.7,1.6,2.8,8.8,1.0,2.3,3.3,0.148,0.648,1.2,0.3,1.7,14.8,23.4,13.3,0.2,0.076,-0.8,0.0,-1.5,0.8,0.2,0.0,14.4,12.0,$12822000,$12822000,2,3,14.4,175759694
Dean Wade,CLE,0.407,0.343,0.7,0.548,0.55,5.3,1.4,7.6,11.6,5.0,17.9,1.5,1.8,11.6,1.0,3.6,4.6,0.113,0.819,0.8,0.4,0.4,7.6,10.3,10.2,2.5,0.116,0.5,0.6,-1.0,1.5,1.5,1.0,13.1,3.2,$6166667,$6166667,6,6,13.1,169080163
Deandre Ayton,POR,0.566,0.188,0.594,0.573,0.583,14.4,1.6,8.6,18.3,11.0,25.9,3.0,1.2,18.3,3.1,7.1,10.2,0.128,0.068,0.8,1.0,1.7,12.2,19.5,17.8,2.8,0.111,-0.8,0.4,-0.3,-0.5,1.5,1.3,-6.8,-4.5,$34005126,$69555940,21,25,-6.8,167086613
Derrick Jones Jr.,LAC,0.528,0.363,0.62,0.593,0.61,10.5,0.8,4.5,7.9,5.7,10.0,1.6,2.1,7.9,1.3,2.2,3.5,0.198,0.36,1.1,0.4,0.9,9.4,16.6,13.7,3.9,0.117,-0.5,0.6,-1.1,0.6,2.1,1.8,5.2,4.4,$9523810,$30000000,23,22,5.2,169670454
Dillon Brooks,HOU,0.42,0.393,0.45,0.522,0.546,14.0,1.8,7.6,6.4,3.6,9.3,0.6,1.2,6.4,1.1,2.8,3.9,0.139,0.518,0.8,0.2,1.0,7.3,17.6,10.7,4.5,0.103,-1.6,0.2,-1.6,0.0,2.3,2.2,4.4,0.1,$22255493,$63372330,31,15,4.4,167805430
Donte DiVincenzo,MIN,0.418,0.395,0.484,0.565,0.581,11.7,3.8,20.8,7.7,2.1,13.1,0.8,2.3,7.7,0.5,3.2,3.7,0.114,0.747,1.3,0.2,1.5,13.3,19.0,14.2,3.3,0.118,2.0,1.4,0.8,1.1,1.9,1.5,5.9,2.6,$11445000,$35970000,53,20,5.9,202492182
