Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
361,Lindy Waters III,27,GSW,SG,38,9,17.2,2.0,5.4,.371,1.3,3.9,.331,0.7,1.5,.474,.490,0.2,0.3,.727,0.4,2.1,2.5,1.1,0.6,0.3,0.4,1.4,5.5,,waterli01
361,Lindy Waters III,27,DET,SG,8,0,4.8,0.8,2.0,.375,0.6,1.8,.357,0.1,0.3,.500,.531,0.0,0.0,,0.1,0.3,0.4,0.5,0.4,0.0,0.4,0.4,2.1,,waterli01
362,Terrence Shannon Jr.,24,MIN,SG,28,1,11.5,2.0,4.0,.491,0.4,1.1,.367,1.6,2.9,.537,.540,0.6,0.8,.810,0.4,1.3,1.6,1.0,0.3,0.2,0.5,0.9,4.9,,shannte01
363,Kevon Looney,28,GSW,C,63,6,15.4,2.0,4.0,.514,0.0,0.0,.000,2.0,3.9,.520,.514,0.7,1.3,.553,2.6,3.8,6.4,1.6,0.7,0.5,0.6,2.2,4.8,,looneke01
364,Mitchell Robinson,26,NYK,C,8,1,16.1,2.1,3.3,.654,0.0,0.0,,2.1,3.3,.654,.654,0.5,0.6,.800,2.8,2.1,4.9,0.5,1.1,0.8,0.6,1.6,4.8,,robinmi01
365,Ryan Rollins,22,MIL,PG,43,8,11.7,1.9,4.0,.465,0.6,1.7,.365,1.2,2.3,.541,.544,0.5,0.6,.840,0.4,1.2,1.6,1.2,0.7,0.3,0.8,1.3,4.8,,rolliry01
366,David Roddy,23,2TM,PF,30,3,12.5,1.7,3.7,.464,0.6,1.8,.333,1.1,1.9,.586,.545,0.6,0.7,.818,0.4,2.2,2.6,1.1,0.5,0.3,0.7,0.6,4.7,,roddyda01
366,David Roddy,23,ATL,PF,27,3,12.8,1.6,3.4,.473,0.6,1.6,.372,1.0,1.9,.560,.559,0.7,0.8,.818,0.4,2.2,2.6,1.1,0.4,0.3,0.7,0.7,4.5,,roddyda01
366,David Roddy,23,PHI,PF,3,0,9.7,2.7,6.3,.421,0.7,3.7,.182,2.0,2.7,.750,.474,0.0,0.0,,0.7,2.3,3.0,1.0,0.7,0.0,0.3,0.3,6.0,,roddyda01
367,Taylor Hendricks,21,UTA,PF,3,3,25.0,1.3,6.0,.222,1.0,4.0,.250,0.3,2.0,.167,.306,1.0,1.3,.750,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7,4.7,,hendrta01
368,Jabari Walker,22,POR,SF,50,1,11.8,1.8,3.5,.506,0.5,1.2,.383,1.3,2.3,.569,.571,0.7,1.0,.654,1.0,2.5,3.5,0.6,0.6,0.1,0.5,1.5,4.7,,walkeja01
369,Cody Williams,20,UTA,SG,44,15,20.8,1.7,4.9,.341,0.7,2.5,.291,0.9,2.4,.394,.416,0.7,0.9,.725,0.6,1.8,2.4,1.2,0.5,0.3,0.9,1.8,4.7,,willico04
370,Charles Bassey,24,SAS,C,34,1,10.7,2.0,3.4,.586,0.0,0.0,,2.0,3.4,.586,.586,0.6,1.0,.636,1.6,2.8,4.4,0.5,0.4,0.9,0.7,1.4,4.6,,bassech01
371,Julian Phillips,21,CHI,SF,66,3,14.0,1.6,3.6,.443,0.6,1.9,.333,1.0,1.7,.568,.532,0.8,1.1,.771,0.9,1.2,2.1,0.5,0.5,0.3,0.4,1.4,4.6,,phillju01
372,Cam Spencer,24,MEM,SG,16,0,11.7,1.4,3.4,.426,0.8,2.1,.382,0.6,1.3,.500,.546,0.9,0.9,1.000,0.6,1.0,1.6,1.5,0.4,0.1,0.3,1.1,4.6,,spencca01
373,Trentyn Flowers,19,LAC,SF,2,0,8.0,2.0,4.5,.444,0.0,1.0,.000,2.0,3.5,.571,.444,0.5,0.5,1.000,0.5,1.5,2.0,0.0,0.0,0.0,0.5,1.5,4.5,,flowetr01
374,Mason Plumlee,34,PHO,C,68,20,17.7,1.7,2.8,.614,0.0,0.0,.000,1.7,2.7,.624,.614,1.1,1.7,.646,1.6,4.6,6.3,1.8,0.4,0.6,0.8,2.1,4.5,,plumlma01
375,Matisse Thybulle,27,POR,SG,2,0,14.0,2.0,4.5,.444,0.5,2.5,.200,1.5,2.0,.750,.500,0.0,0.0,,0.5,2.5,3.0,1.5,3.5,1.0,0.0,0.0,4.5,,thybuma01
376,Marvin Bagley III,25,2TM,PF,24,1,8.8,1.8,3.4,.519,0.1,0.6,.214,1.6,2.8,.582,.537,0.8,1.1,.667,1.3,1.5,2.7,0.3,0.3,0.3,0.5,0.6,4.4,,baglema01
376,Marvin Bagley III,25,WAS,C,19,1,8.7,2.0,3.7,.535,0.1,0.5,.200,1.9,3.2,.590,.549,0.8,1.2,.652,1.4,1.5,2.9,0.4,0.4,0.3,0.6,0.6,4.9,,baglema01
376,Marvin Bagley III,25,MEM,PF,5,0,9.2,0.8,2.0,.400,0.2,0.8,.250,0.6,1.2,.500,.450,0.6,0.8,.750,0.6,1.2,1.8,0.0,0.0,0.4,0.0,0.4,2.4,,baglema01
377,Reggie Jackson,34,PHI,PG,31,1,12.4,1.7,4.3,.391,0.8,2.4,.338,0.9,1.9,.458,.485,0.2,0.3,.778,0.3,1.1,1.4,1.5,0.5,0.1,0.5,1.1,4.4,,jacksre01
378,Jordan Miller,25,LAC,SF,34,0,12.1,1.7,3.9,.435,0.2,1.1,.216,1.4,2.8,.521,.466,0.8,1.0,.788,0.7,1.0,1.7,1.0,0.5,0.1,0.7,0.7,4.4,,millejo02
