Player,Team,FG%,3P%,2P%,eFG%,TS%,PTS,AST,AST%,ORB,DRB,TRB,ORB%,DRB%,STL,BLK,STL%,BLK%,DBPM,TOV,TOV%,USG%,BPM,WS/48,VORP,PER
Charles Bassey,SAS,0.586,,0.586,0.586,0.601,4.6,0.5,6.9,1.6,2.8,4.4,16.5,27.9,0.4,0.9,1.9,7.1,0.6,0.7,15.0,18.0,-0.7,0.141,0.1,19.8
Chet Holmgren,OKC,0.5,0.358,0.575,0.562,0.602,15.0,1.9,9.7,1.8,6.8,8.5,7.1,26.1,0.8,2.5,1.4,9.4,2.3,1.8,12.7,22.3,3.5,0.184,0.8,20.5
Chris Boucher,TOR,0.492,0.363,0.633,0.586,0.615,10.0,0.7,5.9,1.4,3.1,4.5,8.7,19.6,0.5,0.5,1.3,2.8,-0.8,0.6,6.6,21.3,2.2,0.145,0.9,18.8
Christian Braun,DEN,0.572,0.39,0.64,0.625,0.658,15.2,2.4,9.4,1.2,3.8,5.0,4.3,11.9,1.1,0.5,1.6,1.4,-0.5,1.0,7.8,15.8,0.2,0.143,1.2,15.9
Chuma Okeke,PHI,0.5,0.25,1.0,0.583,0.583,2.3,0.7,7.8,1.3,1.3,2.7,12.5,13.6,0.7,0.0,2.8,0.0,-1.7,0.3,14.3,8.8,-1.2,0.102,0.0,12.8
Clint Capela,ATL,0.559,0.0,0.56,0.559,0.564,8.9,1.1,7.5,3.2,5.4,8.5,15.6,28.1,0.6,1.0,1.3,4.1,-0.5,0.9,9.8,16.7,-1.2,0.131,0.3,17.8
Coby White,CHI,0.436,0.356,0.532,0.533,0.58,19.5,4.5,19.7,0.3,3.2,3.6,1.0,10.1,1.0,0.2,1.4,0.5,-1.5,2.3,12.2,24.1,-1.7,0.066,0.2,14.4
Cole Anthony,ORL,0.423,0.349,0.47,0.49,0.527,9.6,2.9,26.0,0.7,2.3,3.0,4.1,15.4,0.7,0.4,1.8,2.3,0.7,1.6,15.1,25.1,-0.4,0.065,0.5,13.9
Collin Sexton,UTA,0.47,0.397,0.504,0.534,0.585,18.1,4.2,24.8,1.1,1.8,2.9,4.1,6.9,0.7,0.1,1.1,0.3,-2.4,2.6,14.5,26.7,-0.9,0.064,0.4,16.0
Dalano Banton,POR,0.413,0.359,0.455,0.492,0.524,7.7,2.1,21.3,0.4,1.5,1.9,2.6,10.9,0.7,0.4,2.2,2.7,0.0,1.2,13.7,23.8,0.4,0.052,0.5,14.3
Dalen Terry,CHI,0.47,0.338,0.548,0.533,0.562,4.2,1.2,12.7,0.5,0.9,1.4,4.3,7.7,0.5,0.2,1.9,1.6,0.1,0.6,14.7,14.6,-3.7,0.058,-0.3,10.0
Daniel Gafford,DAL,0.699,,0.699,0.699,0.716,12.3,1.4,10.1,2.7,4.1,6.9,13.7,20.2,0.4,1.9,0.9,7.4,1.2,1.2,12.2,19.2,3.7,0.23,1.6,24.6
Dante Exum,DAL,0.48,0.447,0.5,0.564,0.591,9.1,2.8,20.8,0.2,1.4,1.7,1.3,8.1,0.7,0.2,1.7,0.7,-1.0,1.1,12.1,19.6,-2.0,0.092,0.0,14.1
Dario Šarić,DEN,0.339,0.269,0.4,0.402,0.43,3.5,1.5,12.7,0.9,2.3,3.3,7.9,18.1,0.5,0.1,1.7,0.4,-0.5,0.9,18.8,15.5,-4.9,-0.002,-0.1,7.4
David Roddy,ATL,0.473,0.372,0.56,0.559,0.594,4.5,1.1,19.0,0.4,2.2,2.6,7.6,28.8,0.4,0.3,3.4,2.1,0.4,0.7,16.3,30.2,2.8,0.07,0.1,19.3
Day'Ron Sharpe,BRK,0.523,0.275,0.562,0.542,0.573,8.1,1.8,16.4,3.0,3.6,6.6,18.6,23.8,0.8,0.9,2.2,4.7,0.6,1.3,15.4,20.3,0.7,0.148,0.6,20.2
De'Andre Hunter,CLE,0.496,0.486,0.531,0.628,0.68,19.0,1.5,7.9,0.7,3.5,4.2,3.3,14.8,0.8,0.3,1.4,1.0,-0.1,1.6,9.4,24.2,2.8,0.19,0.8,16.8
De'Anthony Melton,GSW,0.407,0.371,0.474,0.528,0.539,10.3,2.8,21.0,1.0,2.3,3.3,5.2,12.7,1.2,0.3,2.8,1.6,0.8,1.7,14.8,23.4,-0.8,0.076,0.0,13.3
Dean Wade,CLE,0.407,0.343,0.7,0.548,0.55,5.3,1.4,7.6,1.0,3.6,4.6,5.0,17.9,0.8,0.4,1.8,1.5,1.5,0.4,7.6,10.3,0.5,0.116,0.6,10.2
