Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,-9999
41,Coby White,24,CHI,SG,61,60,2019,29,57,14,0,0,-4.9,-5.3,63,46,56,11,94,13,683,27,56,,whiteco01
42,Domantas Sabonis,28,SAC,C,58,58,2016,0,0,0,1,99,3.9,7.7,66,55,90,36,110,4,856,26,50,,sabondo01
43,Jalen Williams,23,OKC,SG,61,61,1987,0,8,57,34,1,10.1,-6.9,61,57,72,9,131,16,791,29,53,,willija06
44,Jaylen Brown,28,BOS,SF,56,56,1974,0,28,69,4,0,8.3,0.0,54,65,62,22,147,11,672,39,65,,brownja02
45,Kentavious Caldwell-Pope,31,ORL,SG,65,65,1964,3,78,18,0,0,-1.1,2.0,35,11,61,6,22,31,279,9,10,,caldwke01
46,Rudy Gobert,32,MIN,C,60,60,1964,0,0,0,0,100,5.1,1.7,25,30,63,19,100,15,277,18,46,,goberru01
47,Tyrese Maxey,24,PHI,PG,52,52,1960,83,17,0,0,0,-3.8,3.3,56,41,56,7,122,8,791,38,61,,maxeyty01
48,Bub Carrington,19,WAS,PG,67,43,1959,94,6,0,0,0,-15.8,-10.7,57,31,93,8,25,12,677,8,18,,carrica01
49,Amen Thompson,22,HOU,SF,60,33,1952,0,16,55,29,0,4.6,0.6,51,43,53,15,115,7,542,22,41,,thompam01
50,Jarrett Allen,26,CLE,C,68,68,1951,0,0,0,0,100,11.7,2.1,36,18,68,14,107,10,315,27,36,,allenja01
51,Darius Garland,25,CLE,PG,64,64,1949,100,0,0,0,0,11.0,0.5,96,40,53,7,95,24,1015,23,40,,garlada01
52,Bilal Coulibaly,20,WAS,SF,59,59,1948,0,12,76,12,0,-13.6,-5.2,68,39,53,7,97,4,506,26,46,,coulibi01
53,Donovan Mitchell,28,CLE,SG,62,62,1943,45,55,0,0,0,12.2,3.4,64,50,58,7,119,10,759,23,44,,mitchdo01
