Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
261,Jalen Smith,24,CHI,C,57,1,869,18.4,.590,.565,.218,9.6,28.5,19.1,9.1,0.8,4.1,7.9,20.8,1.5,1.1,2.5,.141,1.3,-0.7,0.5,0.6,,smithja04
262,Chris Boucher,32,TOR,PF,50,0,862,18.8,.615,.522,.235,8.7,19.6,14.1,5.9,1.3,2.8,6.6,21.3,1.7,0.9,2.6,.145,3.0,-0.8,2.2,0.9,,bouchch01
263,Day'Ron Sharpe,23,BRK,C,47,2,844,20.2,.573,.134,.248,18.6,23.8,21.1,16.4,2.2,4.7,15.4,20.3,1.4,1.2,2.6,.148,0.1,0.6,0.7,0.6,,sharpda01
264,Alex Caruso,30,OKC,SG,44,1,844,15.0,.553,.559,.121,3.7,10.8,7.3,16.5,4.2,2.9,10.6,14.6,1.0,1.9,2.9,.165,-0.5,3.9,3.4,1.2,,carusal01
265,Tre Jones,25,2TM,PG,44,7,840,16.2,.609,.208,.285,3.7,9.7,6.7,28.3,2.0,0.9,11.1,14.0,2.1,0.5,2.6,.150,0.4,1.0,1.4,0.7,,jonestr01
265,Tre Jones,25,SAS,PG,28,0,450,13.8,.572,.280,.355,3.6,10.2,6.9,30.0,1.9,1.0,16.3,12.2,0.9,0.2,1.1,.117,-1.1,1.0,-0.1,0.2,,jonestr01
265,Tre Jones,25,CHI,PG,16,7,390,19.0,.637,.156,.234,3.8,9.0,6.4,26.3,2.0,0.9,6.6,16.2,1.2,0.3,1.5,.187,2.1,1.0,3.1,0.5,,jonestr01
266,Seth Curry,34,CHO,SG,57,10,839,12.0,.602,.547,.102,2.8,9.0,5.8,7.6,1.5,0.8,7.7,15.6,0.9,0.4,1.4,.079,-0.9,-0.8,-1.7,0.1,,curryse01
267,Justin Edwards,21,PHI,SF,34,16,838,10.5,.557,.550,.108,4.5,10.0,7.1,8.5,1.7,1.3,10.2,15.3,0.4,0.4,0.8,.045,-2.2,-1.6,-3.8,-0.4,,edwarju01
268,Gary Payton II,32,GSW,SG,56,10,829,16.5,.641,.325,.142,5.9,15.2,10.4,13.5,2.6,1.9,10.4,16.1,1.5,1.3,2.8,.160,-0.3,1.8,1.5,0.7,,paytoga02
269,Kenrich Williams,30,OKC,PF,55,4,828,13.6,.588,.508,.103,6.8,16.6,11.8,10.6,1.9,0.8,10.2,15.0,1.2,1.4,2.6,.153,-0.5,1.0,0.6,0.5,,willike04
270,Zion Williamson,24,NOP,PF,29,29,827,27.3,.596,.026,.472,9.5,18.2,13.7,35.8,2.0,3.1,12.8,34.7,1.9,0.6,2.4,.140,5.8,0.7,6.5,1.8,,willizi01
271,Jaxson Hayes,24,LAL,C,42,21,823,16.3,.731,.012,.463,8.4,18.4,13.6,8.2,1.5,4.9,14.5,12.2,1.9,1.2,3.0,.176,-1.4,1.8,0.4,0.5,,hayesja02
