Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
23,Ivica Zubac,27,LAC,C,67,67,2187,11.0,17.6,.625,0.0,0.0,,11.0,17.6,.625,.625,2.7,4.3,.632,5.7,13.3,18.9,3.9,1.1,1.8,2.5,3.3,24.7,127,108,,zubaciv01
24,Pascal Siakam,30,IND,PF,66,66,2172,11.8,22.5,.526,2.5,6.4,.396,9.3,16.1,.577,.582,4.4,6.0,.743,2.5,8.0,10.5,4.8,1.3,0.7,2.0,3.7,30.6,122,116,,siakapa01
25,Dyson Daniels,21,ATL,SG,64,64,2166,8.2,16.8,.485,1.5,4.2,.345,6.7,12.6,.532,.528,1.6,2.7,.587,2.2,5.5,7.7,5.9,4.2,1.0,2.7,3.4,19.4,109,111,,daniedy01
26,Toumani Camara,24,POR,PF,66,66,2164,5.9,13.1,.454,2.3,6.3,.369,3.6,6.7,.535,.544,1.8,2.4,.745,3.4,5.3,8.7,3.2,2.2,1.0,2.2,4.6,16.0,116,115,,camarto01
27,Jalen Brunson,28,NYK,PG,61,61,2162,12.8,26.0,.490,3.2,8.3,.384,9.6,17.7,.541,.552,8.0,9.7,.825,0.6,3.6,4.1,10.3,1.3,0.1,3.5,3.0,36.7,124,118,,brunsja01
28,Brook Lopez,36,MIL,C,67,67,2126,7.1,14.4,.496,2.7,7.3,.371,4.4,7.1,.624,.590,2.2,2.5,.848,2.0,5.5,7.5,2.6,1.0,2.9,1.5,3.3,19.1,121,113,,lopezbr01
29,Anfernee Simons,25,POR,SG,65,65,2123,10.3,23.8,.433,4.7,12.6,.373,5.6,11.2,.500,.532,3.8,4.1,.906,0.5,3.6,4.0,7.1,1.3,0.1,3.1,2.5,29.1,116,119,,simonan01
30,Tyrese Haliburton,24,IND,PG,62,62,2107,9.2,19.6,.467,4.2,11.0,.387,4.9,8.6,.570,.576,3.6,4.2,.858,0.8,4.2,5.0,12.8,2.1,0.8,2.4,1.8,26.1,129,116,,halibty01
31,Dillon Brooks,29,HOU,SF,65,65,2098,7.7,18.2,.420,3.7,9.4,.393,3.9,8.8,.450,.522,2.1,2.5,.817,1.7,4.2,5.9,2.6,1.2,0.3,1.5,5.1,21.1,116,114,,brookdi01
32,Karl-Anthony Towns,29,NYK,C,60,60,2097,12.4,23.6,.526,2.9,6.9,.428,9.5,16.7,.567,.589,6.5,7.8,.834,4.3,14.1,18.4,4.4,1.4,1.1,3.7,5.0,34.3,123,110,,townska01
33,Damian Lillard,34,MIL,PG,58,58,2093,10.2,22.8,.448,4.5,12.0,.376,5.7,10.8,.528,.547,8.3,9.0,.921,0.7,5.6,6.3,9.4,1.6,0.2,3.7,2.2,33.3,122,115,,lillada01
34,Zach LaVine,29,2TM,SF,60,60,2089,11.5,22.4,.516,4.3,9.8,.444,7.2,12.6,.571,.613,4.6,5.6,.823,0.4,5.7,6.1,5.8,1.2,0.3,3.9,2.0,32.0,116,118,,lavinza01
34,Zach LaVine,29,CHI,SF,42,42,1432,11.8,23.1,.511,4.4,9.9,.446,7.4,13.2,.560,.607,4.7,5.9,.797,0.4,6.2,6.6,6.2,1.3,0.3,3.9,2.1,32.8,115,118,,lavinza01
34,Zach LaVine,29,SAC,SG,18,18,657,10.9,20.6,.527,4.1,9.4,.441,6.7,11.2,.599,.627,4.4,4.9,.894,0.4,4.7,5.0,5.1,1.0,0.1,3.7,1.8,30.3,119,119,,lavinza01
35,Tobias Harris,32,DET,PF,65,65,2087,7.9,16.8,.473,1.9,5.5,.339,6.1,11.3,.538,.528,3.0,3.5,.868,1.4,7.7,9.1,3.2,1.4,1.1,1.7,2.8,20.8,116,112,,harrito02
36,Kelly Oubre Jr.,29,PHI,SF,60,57,2078,8.3,17.6,.470,1.7,5.8,.293,6.6,11.9,.555,.518,3.3,4.4,.751,2.3,6.4,8.8,2.6,2.2,0.7,1.9,4.3,21.6,111,117,,oubreke01
37,Austin Reaves,26,LAL,SG,60,60,2076,8.9,20.0,.446,3.7,10.2,.366,5.2,9.8,.530,.540,6.2,7.1,.872,1.2,5.2,6.4,8.4,1.6,0.4,3.5,2.8,27.8,119,115,,reaveau01
38,Kevin Durant,36,PHO,PF,56,56,2066,12.7,24.2,.526,3.3,8.0,.416,9.4,16.2,.580,.595,6.5,7.8,.829,0.5,7.6,8.2,5.7,1.1,1.7,4.2,2.3,35.3,116,118,,duranke01
39,Alperen Şengün,22,HOU,C,65,65,2035,11.7,23.2,.502,0.5,2.0,.241,11.2,21.2,.526,.512,6.0,8.6,.693,5.4,10.9,16.3,7.6,1.8,1.2,4.1,4.5,29.8,116,107,,sengual01
40,LeBron James,40,LAL,SF,58,58,2023,13.5,26.1,.517,3.2,8.4,.384,10.3,17.7,.580,.579,5.1,6.6,.770,1.4,10.1,11.6,12.0,1.3,0.8,5.5,2.1,35.2,117,113,,jamesle01
41,Coby White,24,CHI,SG,61,60,2019,9.3,21.4,.436,4.2,11.7,.356,5.2,9.7,.532,.533,4.6,5.1,.905,0.5,4.6,5.0,6.3,1.4,0.3,3.3,3.0,27.4,111,118,,whiteco01
42,Domantas Sabonis,28,SAC,C,58,58,2016,10.5,17.8,.593,1.4,3.2,.425,9.2,14.5,.630,.632,4.4,5.8,.748,5.4,14.0,19.4,8.7,0.9,0.6,4.1,4.7,26.8,128,114,,sabondo01
43,Jalen Williams,23,OKC,SG,61,61,1987,11.9,25.0,.478,2.7,7.4,.362,9.2,17.5,.528,.532,4.9,6.1,.791,1.3,6.8,8.1,7.8,2.4,1.1,3.2,3.5,31.4,115,107,,willija06
44,Jaylen Brown,28,BOS,SF,56,56,1974,12.0,26.1,.459,2.6,8.2,.316,9.4,17.9,.525,.509,5.7,7.5,.757,2.0,6.6,8.6,6.7,1.8,0.5,3.7,3.6,32.2,111,112,,brownja02
45,Kentavious Caldwell-Pope,31,ORL,SG,65,65,1964,5.2,12.0,.428,2.3,7.1,.319,2.9,5.0,.585,.522,1.9,2.1,.869,0.6,2.9,3.5,2.9,2.2,0.8,1.4,3.3,14.4,111,112,,caldwke01
46,Rudy Gobert,32,MIN,C,60,60,1964,6.4,9.8,.654,0.0,0.0,,6.4,9.8,.654,.654,3.6,5.3,.678,5.3,10.2,15.4,2.7,1.1,2.3,2.0,3.6,16.4,135,109,,goberru01
47,Tyrese Maxey,24,PHI,PG,52,52,1960,12.0,27.5,.437,4.1,12.1,.337,8.0,15.5,.515,.511,6.4,7.3,.879,0.4,4.0,4.4,8.0,2.3,0.5,3.1,2.9,34.5,114,119,,maxeyty01
48,Bub Carrington,19,WAS,PG,67,43,1959,5.5,13.8,.399,2.6,7.7,.336,2.9,6.1,.476,.492,1.3,1.6,.831,0.7,5.8,6.5,6.7,1.1,0.3,2.6,3.8,14.9,104,121,,carrica01
49,Amen Thompson,22,HOU,SF,60,33,1952,8.3,14.9,.553,0.5,1.9,.256,7.8,13.0,.597,.569,3.9,5.7,.693,4.1,8.3,12.5,5.4,2.0,1.9,3.1,3.5,20.9,121,108,,thompam01
50,Jarrett Allen,26,CLE,C,68,68,1951,9.3,13.2,.701,0.0,0.1,.000,9.3,13.2,.705,.701,4.2,5.7,.737,4.5,12.6,17.1,3.2,1.6,1.6,1.9,2.7,22.8,142,107,,allenja01
51,Darius Garland,25,CLE,PG,64,64,1949,11.7,24.7,.476,4.6,11.2,.407,7.2,13.5,.534,.568,4.9,5.6,.881,0.9,3.3,4.2,10.5,1.9,0.2,3.9,3.1,33.0,122,114,,garlada01
52,Bilal Coulibaly,20,WAS,SF,59,59,1948,6.4,15.2,.421,1.5,5.4,.281,4.9,9.7,.500,.472,3.4,4.5,.746,2.2,4.9,7.1,4.8,1.9,1.0,3.0,3.4,17.7,103,119,,coulibi01
53,Donovan Mitchell,28,CLE,SG,62,62,1943,12.7,28.6,.445,5.3,13.9,.378,7.5,14.7,.509,.537,6.1,7.4,.824,1.2,5.5,6.7,7.4,2.0,0.3,3.2,3.0,36.9,118,113,,mitchdo01
54,Naz Reid,25,MIN,C,69,17,1926,9.6,20.9,.462,4.0,10.4,.387,5.6,10.4,.537,.559,2.6,3.3,.775,2.0,8.8,10.8,3.9,1.4,1.7,2.4,4.4,25.9,115,110,,reidna01
55,Payton Pritchard,27,BOS,PG,68,0,1914,8.7,18.6,.469,5.8,13.9,.418,2.9,4.7,.619,.625,1.7,2.0,.853,2.3,4.3,6.6,5.9,1.6,0.3,1.7,2.7,24.9,132,114,,pritcpa01
56,Tyus Jones,28,PHO,PG,68,57,1908,6.7,15.0,.447,3.7,8.7,.426,3.0,6.3,.477,.571,1.3,1.4,.891,0.9,3.4,4.2,10.0,1.4,0.2,2.2,1.5,18.4,124,121,,jonesty01
57,Nikola Vučević,34,CHI,C,60,59,1906,11.1,21.0,.529,2.6,6.6,.390,8.5,14.4,.592,.590,2.5,3.0,.815,3.3,11.5,14.8,4.9,1.2,0.9,2.4,3.5,27.3,120,114,,vucevni01
58,Stephen Curry,36,GSW,PG,59,59,1904,12.0,26.9,.444,6.6,16.9,.394,5.3,10.1,.529,.568,5.9,6.3,.935,0.8,5.8,6.6,9.2,1.6,0.6,4.4,2.1,36.5,118,113,,curryst01
59,Giannis Antetokounmpo,30,MIL,PF,56,56,1904,16.9,28.3,.599,0.2,1.1,.178,16.7,27.1,.617,.603,8.7,14.5,.600,3.3,13.8,17.0,8.5,1.2,1.8,4.6,3.5,42.8,120,109,,antetgi01
60,Malik Beasley,28,DET,SG,69,14,1891,9.9,22.6,.439,6.8,16.2,.418,3.1,6.4,.494,.589,1.8,2.8,.649,1.0,3.8,4.8,3.0,1.7,0.1,2.0,2.7,28.4,116,115,,beaslma01
61,Chris Paul,39,SAS,PG,67,67,1885,5.0,12.0,.418,2.9,7.8,.376,2.1,4.2,.497,.541,2.0,2.1,.940,0.7,5.5,6.2,13.4,2.2,0.3,2.5,3.0,15.0,128,118,,paulch01
62,Shaedon Sharpe,21,POR,SG,61,41,1858,10.4,23.3,.449,3.1,9.9,.313,7.3,13.3,.550,.516,3.9,4.9,.796,1.4,5.2,6.6,4.1,1.2,0.4,3.2,2.7,27.9,109,118,,sharpsh01
63,Trey Murphy III,24,NOP,SF,53,51,1854,9.9,21.9,.454,4.1,11.4,.361,5.8,10.5,.556,.548,5.3,6.0,.887,1.2,5.8,7.0,4.9,1.5,1.0,2.7,2.9,29.3,118,121,,murphtr02
64,Julius Randle,30,MIN,PF,57,57,1843,9.9,20.9,.474,2.2,6.8,.325,7.7,14.1,.546,.527,6.5,8.0,.807,3.3,7.5,10.8,7.1,1.0,0.3,4.3,3.8,28.5,116,113,,randlju01
65,Bennedict Mathurin,22,IND,SF,61,46,1842,8.8,19.0,.465,2.4,6.5,.363,6.5,12.5,.518,.527,5.4,6.5,.832,1.9,6.5,8.4,3.0,0.9,0.6,3.0,3.7,25.4,110,118,,mathube01
66,Harrison Barnes,32,SAS,PF,67,67,1828,7.2,14.2,.507,3.1,7.2,.432,4.1,7.1,.584,.616,3.4,4.3,.779,2.4,4.4,6.8,3.0,0.6,0.3,1.0,1.6,20.9,132,122,,barneha02
67,Tim Hardaway Jr.,32,DET,SG,65,65,1828,5.9,14.6,.400,3.6,9.9,.361,2.3,4.7,.483,.522,2.5,3.0,.826,0.4,3.8,4.2,2.7,0.9,0.1,1.1,2.1,17.8,115,117,,hardati02
68,Deni Avdija,24,POR,SF,63,45,1828,8.4,18.0,.467,2.6,7.4,.353,5.8,10.6,.547,.539,6.3,8.2,.773,2.2,9.0,11.2,6.1,1.5,0.8,4.3,3.9,25.7,114,114,,avdijde01
69,Malik Monk,26,SAC,SG,56,43,1828,9.8,22.2,.440,3.2,10.1,.318,6.5,12.0,.543,.513,3.6,4.2,.866,0.7,5.1,5.7,8.7,1.5,1.0,3.6,3.8,26.3,111,117,,monkma01
70,Jaren Jackson Jr.,25,MEM,C,62,62,1825,12.8,25.6,.500,2.9,8.0,.365,9.9,17.6,.561,.557,6.9,8.9,.777,2.0,7.1,9.1,3.3,2.0,2.6,3.4,5.4,35.4,117,110,,jacksja02
71,Scottie Barnes,23,TOR,PF,54,54,1822,10.5,23.7,.442,1.7,6.4,.266,8.8,17.3,.507,.478,5.4,7.0,.771,2.4,8.7,11.2,8.4,2.2,1.5,4.2,2.7,28.0,107,112,,barnesc01
72,Evan Mobley,23,CLE,PF,60,60,1816,11.4,20.0,.568,1.7,4.7,.365,9.6,15.3,.630,.611,5.0,6.8,.736,3.6,11.1,14.6,4.9,1.3,2.4,3.2,3.2,29.5,125,108,,mobleev01
73,Myles Turner,28,IND,C,59,59,1808,8.5,18.1,.473,3.4,8.6,.393,5.2,9.5,.545,.566,3.9,4.9,.780,1.9,8.2,10.1,2.6,1.3,2.8,2.7,4.1,24.3,111,113,,turnemy01
74,Luguentz Dort,25,OKC,SF,62,62,1807,5.8,13.7,.424,3.8,9.5,.396,2.1,4.3,.488,.561,0.9,1.2,.750,2.3,4.7,6.9,2.7,1.8,1.0,1.2,4.8,16.3,119,110,,dortlu01
75,Kyrie Irving,32,DAL,SG,50,50,1804,12.0,25.4,.473,3.9,9.6,.401,8.1,15.7,.517,.549,5.3,5.7,.916,1.6,4.8,6.4,6.2,1.8,0.6,3.0,2.7,33.1,118,117,,irvinky01
76,Desmond Bane,26,MEM,SG,57,56,1803,10.4,21.3,.487,3.3,8.5,.393,7.0,12.8,.550,.566,3.8,4.3,.882,1.4,7.8,9.2,8.0,1.7,0.6,3.7,3.5,27.9,119,113,,banede01
77,Taurean Prince,30,MIL,SF,67,60,1797,5.2,11.5,.452,3.3,7.5,.446,1.8,4.0,.463,.598,0.8,1.0,.833,0.9,5.9,6.8,3.6,1.6,0.3,1.9,3.7,14.5,113,114,,princta02
78,Jaylen Wells,21,MEM,SG,69,64,1796,6.8,15.7,.432,3.2,9.0,.360,3.5,6.7,.529,.535,2.4,3.0,.810,1.9,3.9,5.9,3.0,1.0,0.2,1.7,3.3,19.2,118,117,,wellsja01
79,Josh Giddey,22,CHI,PG,60,60,1781,8.0,17.2,.462,2.3,6.2,.376,5.6,11.0,.511,.530,3.4,4.3,.789,2.7,9.3,12.0,10.5,1.7,1.0,4.3,2.7,21.7,114,114,,giddejo01
80,Max Christie,21,2TM,SG,65,35,1768,5.7,13.4,.430,2.7,7.3,.375,3.0,6.1,.495,.532,2.8,3.3,.842,0.9,4.8,5.6,3.5,1.4,0.8,1.9,2.8,17.0,113,117,,chrisma02
80,Max Christie,21,LAL,SG,46,25,1154,5.4,12.3,.444,2.6,6.9,.368,2.9,5.3,.544,.549,3.1,3.7,.851,1.1,4.2,5.2,2.8,1.5,0.9,1.7,3.1,16.6,117,116,,chrisma02
80,Max Christie,21,DAL,SG,19,10,614,6.3,15.5,.408,3.1,8.0,.386,3.2,7.5,.432,.508,2.1,2.6,.818,0.6,5.8,6.4,4.7,1.3,0.6,2.3,2.4,17.8,107,118,,chrisma02
81,Josh Green,24,CHO,SG,62,61,1764,4.5,10.7,.421,2.4,6.3,.383,2.1,4.4,.475,.534,1.2,1.8,.672,1.5,3.1,4.6,2.8,2.0,0.4,1.7,4.3,12.6,109,118,,greenjo02
82,Nickeil Alexander-Walker,26,MIN,SG,70,10,1763,6.5,14.6,.444,3.4,8.7,.393,3.0,5.8,.522,.562,1.8,2.4,.765,1.1,5.1,6.2,4.9,1.2,0.7,2.4,3.3,18.2,115,114,,alexani01
83,Fred VanVleet,30,HOU,PG,50,50,1757,6.8,17.7,.382,3.6,10.7,.340,3.1,7.0,.447,.485,2.4,2.9,.811,0.8,4.7,5.5,7.9,2.3,0.6,2.1,3.3,19.5,117,111,,vanvlfr01
84,Russell Westbrook,36,DEN,PG,62,33,1748,8.5,18.5,.460,2.2,6.6,.342,6.3,12.0,.525,.521,3.0,4.7,.640,2.5,6.2,8.7,10.6,2.4,0.9,5.3,4.3,22.3,107,115,,westbru01
85,Jalen Wilson,24,BRK,PF,68,16,1746,5.9,14.8,.396,2.7,8.5,.321,3.2,6.4,.495,.487,3.2,3.9,.830,1.9,4.3,6.2,3.5,1.0,0.1,2.1,4.1,17.7,109,120,,wilsoja03
86,Spencer Dinwiddie,31,DAL,PG,67,20,1739,6.4,15.5,.414,2.5,7.5,.336,3.9,8.0,.488,.496,4.4,5.4,.809,0.4,4.1,4.5,7.1,1.5,0.4,2.2,2.8,19.8,116,119,,dinwisp01
87,Jordan Poole,25,WAS,SG,57,57,1739,10.5,24.8,.424,5.4,14.4,.377,5.1,10.4,.490,.534,5.8,6.6,.876,0.8,4.2,5.0,7.2,2.2,0.7,4.9,4.8,32.2,108,119,,poolejo01
88,CJ McCollum,33,NOP,PG,53,53,1735,11.6,26.2,.442,4.5,12.0,.376,7.1,14.2,.498,.528,3.3,4.6,.720,1.1,4.4,5.6,6.0,1.1,0.7,2.7,3.3,31.0,111,123,,mccolcj01
89,Dennis Schröder,31,3TM,PG,63,41,1733,8.4,20.0,.418,3.3,9.3,.355,5.1,10.7,.472,.500,3.9,4.7,.836,0.6,4.0,4.6,9.5,1.7,0.3,3.5,4.3,23.9,112,116,,schrode01
89,Dennis Schröder,31,BRK,PG,23,23,772,9.5,21.1,.452,3.8,9.7,.387,5.8,11.3,.509,.542,4.7,5.2,.889,0.3,4.1,4.4,9.9,1.7,0.3,3.8,3.6,27.5,116,118,,schrode01
89,Dennis Schröder,31,GSW,SG,24,18,628,7.3,19.4,.375,2.9,8.9,.322,4.4,10.5,.419,.448,2.2,3.0,.744,0.8,3.6,4.3,8.1,1.9,0.2,3.7,5.2,19.6,99,114,,schrode01
89,Dennis Schröder,31,DET,PG,16,0,333,7.8,18.7,.415,3.0,8.9,.339,4.8,9.8,.485,.496,5.3,6.5,.822,0.9,4.6,5.5,11.4,1.3,0.6,2.4,4.2,23.9,123,115,,schrode01
90,Yves Missi,20,NOP,C,64,58,1721,6.4,11.8,.544,0.0,0.0,.000,6.4,11.8,.545,.544,3.0,4.7,.637,6.3,8.2,14.5,2.3,1.0,2.4,2.1,3.7,15.9,120,119,,missiyv01
91,Miles Bridges,26,CHO,PF,53,53,1714,11.5,26.2,.441,3.5,10.7,.328,8.0,15.4,.519,.508,5.4,6.2,.867,1.7,10.1,11.8,5.9,1.1,1.1,3.2,2.4,32.0,112,115,,bridgmi02
92,RJ Barrett,24,TOR,SF,52,52,1713,11.8,25.0,.472,2.8,7.7,.359,9.0,17.3,.523,.528,5.2,8.0,.649,1.5,8.0,9.5,8.3,1.2,0.4,4.3,3.6,31.5,109,116,,barrerj01
93,Jalen Duren,21,DET,C,66,66,1709,8.7,12.5,.696,0.0,0.0,,8.7,12.5,.696,.696,3.6,5.3,.683,6.3,12.7,19.0,4.7,1.3,2.2,3.3,6.0,21.1,133,108,,durenja01
94,Stephon Castle,20,SAS,PG,66,32,1700,9.3,21.9,.427,2.2,7.6,.286,7.2,14.3,.502,.477,5.1,7.0,.718,1.8,4.1,6.0,6.6,1.7,0.4,3.7,3.8,25.9,104,120,,castlst01
95,Amir Coffey,27,LAC,SG,67,13,1698,6.8,14.4,.471,2.9,6.9,.413,3.9,7.4,.525,.570,3.1,3.4,.908,0.9,3.6,4.5,2.2,1.1,0.2,1.2,3.4,19.5,123,116,,coffeam01
96,Keyonte George,21,UTA,PG,54,32,1693,8.2,20.9,.395,4.0,11.7,.343,4.3,9.2,.462,.491,5.3,6.6,.802,0.6,5.2,5.8,8.9,1.1,0.3,4.3,2.6,25.8,109,122,,georgke01
97,Klay Thompson,34,DAL,SF,61,61,1691,9.1,21.9,.415,5.4,13.6,.398,3.7,8.3,.443,.539,1.6,1.8,.905,1.2,5.1,6.3,3.8,1.3,0.8,2.3,2.1,25.2,109,118,,thompkl01
98,Cameron Johnson,28,BRK,PF,53,53,1689,9.9,20.7,.476,4.5,11.4,.398,5.3,9.3,.571,.586,5.5,6.2,.885,1.5,5.2,6.7,5.0,1.5,0.7,2.6,3.0,29.7,123,117,,johnsca02
99,Andrew Wiggins,29,2TM,SF,54,54,1665,9.7,22.1,.439,3.4,9.3,.364,6.3,12.8,.493,.515,5.2,6.8,.772,2.4,4.7,7.1,3.9,1.5,1.3,2.5,2.7,28.0,112,114,,wiggian01
99,Andrew Wiggins,29,GSW,SF,43,43,1296,9.8,22.0,.444,3.5,9.3,.379,6.2,12.7,.491,.524,5.2,6.7,.777,2.5,4.9,7.4,3.8,1.5,1.2,2.1,2.6,28.2,116,114,,wiggian01
99,Andrew Wiggins,29,MIA,SF,11,11,369,9.5,22.4,.422,2.8,9.2,.309,6.6,13.2,.500,.485,5.4,7.2,.755,2.0,4.2,6.2,4.3,1.5,1.5,3.9,2.8,27.2,101,115,,wiggian01
100,Onyeka Okongwu,24,ATL,C,62,28,1658,8.9,15.5,.572,0.9,3.0,.311,7.9,12.5,.634,.602,3.8,5.0,.749,5.3,9.6,14.9,3.9,1.6,1.7,1.8,4.3,22.4,131,113,,okongon01
101,Kyshawn George,21,WAS,SG,61,31,1657,5.2,14.0,.369,3.0,9.3,.324,2.2,4.8,.455,.476,1.8,2.3,.768,1.3,6.1,7.3,4.2,1.7,1.4,2.6,5.3,15.2,99,118,,georgky01
102,Franz Wagner,23,ORL,SF,49,49,1653,13.2,28.6,.463,2.5,8.5,.299,10.7,20.1,.532,.507,6.9,8.1,.858,1.5,6.8,8.2,6.9,2.0,0.6,3.5,3.8,36.0,112,110,,wagnefr01
103,Guerschon Yabusele,29,PHI,C,62,35,1651,7.1,14.2,.497,2.7,7.0,.391,4.3,7.2,.599,.593,2.5,3.4,.739,3.4,6.9,10.3,3.7,1.5,0.7,2.4,4.5,19.4,121,118,,yabusgu01
104,Scoot Henderson,20,POR,PG,61,9,1642,8.0,18.7,.426,2.8,7.8,.362,5.1,10.9,.471,.502,4.4,5.7,.772,1.4,4.1,5.5,9.1,2.0,0.4,4.9,5.0,23.2,108,117,,hendesc01
105,Nic Claxton,25,BRK,C,60,52,1635,8.2,14.9,.548,0.0,0.5,.063,8.1,14.4,.565,.549,2.2,4.2,.522,4.0,9.6,13.7,4.2,1.7,2.7,2.2,3.9,18.5,114,112,,claxtni01
106,Quentin Grimes,24,2TM,SG,64,26,1635,9.0,18.7,.482,3.8,9.6,.396,5.2,9.0,.574,.585,3.3,4.5,.742,1.5,6.7,8.1,5.0,1.7,0.6,3.1,3.5,25.2,115,117,,grimequ01
106,Quentin Grimes,24,DAL,SG,47,12,1070,7.6,16.5,.463,3.6,9.1,.398,4.0,7.4,.543,.573,2.8,3.7,.765,1.4,6.7,8.1,4.6,1.4,0.5,2.8,3.5,21.7,114,117,,grimequ01
106,Quentin Grimes,24,PHI,SG,17,14,565,11.6,22.8,.510,4.2,10.7,.393,7.4,12.2,.612,.602,4.4,6.1,.714,1.7,6.5,8.1,5.7,2.3,1.0,3.8,3.3,31.8,116,117,,grimequ01
107,Jrue Holiday,34,BOS,PG,53,53,1625,6.7,15.1,.442,2.8,8.3,.337,3.9,6.8,.570,.534,1.7,1.9,.903,2.0,5.1,7.0,6.2,1.7,0.8,2.2,2.7,17.9,118,113,,holidjr01
108,Cason Wallace,21,OKC,SG,59,39,1621,5.8,12.5,.467,1.9,5.5,.348,3.9,7.0,.559,.543,0.7,0.9,.833,1.8,4.2,6.1,4.3,3.1,0.9,1.5,4.0,14.3,117,107,,wallaca01
109,Rui Hachimura,26,LAL,PF,50,50,1605,7.7,15.3,.506,2.6,6.3,.410,5.2,9.0,.573,.590,2.3,3.0,.765,2.2,5.8,8.0,2.3,1.2,0.7,1.3,2.8,20.4,122,116,,hachiru01
110,Keon Johnson,22,BRK,SG,67,44,1603,7.7,20.4,.379,3.2,10.5,.307,4.5,10.0,.453,.457,2.6,3.4,.778,1.8,6.0,7.8,4.2,2.2,0.8,2.7,5.3,21.3,99,115,,johnske07
111,Corey Kispert,25,WAS,SF,61,0,1602,7.5,16.7,.451,3.5,9.8,.364,4.0,6.9,.574,.558,2.2,2.6,.852,1.1,4.3,5.4,3.0,0.8,0.4,1.9,2.9,20.8,112,123,,kispeco01
112,Devin Vassell,24,SAS,SG,52,41,1602,9.6,21.9,.437,3.6,10.3,.353,6.0,11.7,.510,.519,2.5,3.1,.796,0.9,5.2,6.1,4.5,2.0,0.8,2.1,2.6,25.3,108,118,,vassede01
113,Davion Mitchell,26,2TM,PG,61,36,1602,4.9,11.0,.450,2.0,5.1,.389,3.0,5.9,.503,.540,1.3,1.9,.672,0.8,3.1,3.9,8.5,1.6,0.4,3.3,4.6,13.1,109,118,,mitchda01
113,Davion Mitchell,26,TOR,PG,44,22,1080,4.7,10.9,.434,1.9,5.2,.359,2.9,5.7,.504,.520,1.1,1.7,.676,0.7,3.1,3.8,9.1,1.4,0.4,3.5,5.2,12.5,106,119,,mitchda01
113,Davion Mitchell,26,MIA,PG,17,14,522,5.4,11.1,.483,2.2,4.8,.460,3.2,6.3,.500,.582,1.5,2.3,.667,1.1,3.2,4.2,7.4,1.9,0.5,2.8,3.2,14.4,115,116,,mitchda01
114,Draymond Green,34,GSW,PF,55,53,1601,5.3,12.3,.432,1.8,5.7,.326,3.5,6.6,.523,.507,2.7,3.9,.677,1.8,8.5,10.2,9.6,2.3,1.8,4.1,5.2,15.1,108,109,,greendr01
115,Duncan Robinson,30,MIA,SF,65,33,1594,8.0,18.5,.436,5.2,13.5,.388,2.8,5.0,.563,.577,1.3,1.5,.896,0.5,4.3,4.8,5.1,1.1,0.2,2.4,3.8,22.7,111,117,,robindu01
116,Buddy Hield,32,GSW,SG,69,22,1593,8.6,20.7,.418,5.3,14.4,.369,3.3,6.3,.529,.546,1.2,1.6,.788,1.2,5.6,6.8,3.6,1.8,0.6,2.5,3.4,23.8,107,113,,hieldbu01
117,Royce O'Neale,31,PHO,SF,63,19,1592,6.5,15.0,.433,4.7,11.4,.417,1.8,3.7,.483,.591,0.6,0.8,.731,1.5,8.0,9.5,4.3,2.0,0.9,1.7,4.0,18.3,117,116,,onealro01
118,Gradey Dick,21,TOR,SG,54,54,1587,8.1,19.7,.410,3.5,9.9,.350,4.6,9.8,.470,.498,4.1,4.7,.858,1.3,4.5,5.9,3.0,1.5,0.3,2.5,3.7,23.7,107,118,,dickgr01
119,Derrick Jones Jr.,27,LAC,SF,64,52,1585,8.3,15.7,.528,2.0,5.6,.363,6.2,10.0,.620,.593,2.2,3.1,.710,2.5,4.4,6.9,1.5,2.1,0.8,1.8,4.0,20.8,118,112,,jonesde02
120,Walker Kessler,23,UTA,C,52,52,1583,7.9,11.2,.698,0.1,0.5,.176,7.8,10.7,.723,.702,2.4,4.3,.545,7.3,12.3,19.6,2.5,0.9,3.9,2.4,3.5,18.2,133,113,,kesslwa01
121,Terry Rozier,30,MIA,PG,59,23,1571,7.7,19.3,.396,2.8,9.3,.300,4.9,10.0,.486,.469,2.9,3.3,.857,1.3,5.8,7.1,5.0,1.1,0.4,2.4,2.3,21.0,103,116,,roziete01
122,Norman Powell,31,LAC,SG,48,48,1561,12.2,24.8,.490,4.8,11.4,.423,7.3,13.4,.547,.587,5.9,7.1,.824,0.5,4.6,5.1,3.2,1.9,0.3,3.0,2.8,35.0,117,113,,powelno01
123,Julian Champagnie,23,SAS,SF,67,26,1556,6.8,16.5,.415,4.3,11.9,.361,2.5,4.5,.559,.546,1.9,2.1,.899,1.7,6.2,7.9,2.8,1.6,0.9,1.8,2.8,19.9,112,118,,champju02
124,Jakob Poeltl,29,TOR,C,52,51,1551,10.1,16.3,.616,0.0,0.1,.333,10.0,16.2,.618,.617,2.9,4.3,.672,5.4,10.2,15.6,4.6,2.0,1.9,3.1,5.1,23.0,122,111,,poeltja01
