Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
515,Bryce McGowens,22,POR,SG,11,0,28,6.9,20.8,.333,0.0,6.9,.000,6.9,13.9,.500,.333,8.7,10.4,.833,1.7,1.7,3.5,1.7,1.7,0.0,5.2,3.5,22.6,85,120,,mcgowbr01
516,Josh Christopher,23,MIA,SG,8,0,28,3.6,12.5,.286,0.0,1.8,.000,3.6,10.7,.333,.286,3.6,7.1,.500,0.0,5.3,5.3,7.1,0.0,1.8,7.1,1.8,10.7,63,117,,chrisjo01
517,Jack McVeigh,28,HOU,PF,7,0,28,8.7,22.6,.385,7.0,17.4,.400,1.7,5.2,.333,.538,0.0,0.0,,1.7,5.2,7.0,1.7,0.0,1.7,1.7,1.7,24.3,112,114,,mcveija01
518,Matisse Thybulle,27,POR,SG,2,0,28,6.9,15.6,.444,1.7,8.7,.200,5.2,6.9,.750,.500,0.0,0.0,,1.7,8.7,10.4,5.2,12.2,3.5,0.0,0.0,15.6,124,87,,thybuma01
519,Leonard Miller,21,MIN,SF,10,0,27,9.1,25.5,.357,0.0,9.1,.000,9.1,16.4,.556,.357,14.6,14.6,1.000,5.5,14.6,20.1,0.0,3.6,1.8,3.6,3.6,32.8,107,101,,millele01
520,Emoni Bates,21,CLE,SF,7,0,27,3.6,24.9,.143,3.6,19.6,.182,0.0,5.3,.000,.214,0.0,0.0,,0.0,0.0,0.0,7.1,1.8,0.0,0.0,3.6,10.7,68,117,,batesem01
521,Jalen Bridges,23,PHO,SF,5,0,25,2.0,7.9,.250,2.0,7.9,.250,0.0,0.0,,.375,2.0,3.9,.500,0.0,5.9,5.9,0.0,0.0,0.0,7.9,0.0,7.9,43,123,,bridgja01
522,RayJ Dennis,23,IND,PG,8,0,23,4.2,20.9,.200,2.1,14.6,.143,2.1,6.3,.333,.250,4.2,4.2,1.000,4.2,8.4,12.5,10.5,6.3,0.0,8.4,6.3,14.6,74,105,,dennira01
523,Malevy Leons,25,OKC,SF,6,0,21,0.0,4.6,.000,0.0,2.3,.000,0.0,2.3,.000,.000,4.6,9.2,.500,2.3,4.6,6.9,2.3,0.0,0.0,2.3,9.2,4.6,70,115,,leonsma01
524,Adama Sanogo,22,CHI,C,4,0,21,8.9,15.5,.571,0.0,0.0,,8.9,15.5,.571,.571,0.0,0.0,,11.1,2.2,13.3,2.2,0.0,0.0,2.2,2.2,17.8,126,123,,sanogad01
525,Justin Minaya,25,POR,SF,8,0,20,0.0,4.9,.000,0.0,2.4,.000,0.0,2.4,.000,.000,0.0,0.0,,4.9,2.4,7.3,4.9,2.4,0.0,0.0,7.3,0.0,98,117,,minayju01
