Player,ORtg,DRtg,NRtg,On-Off,WS,BPM,NRtg/A,PG%,SG%,SF%,PF%,C%,3PAr,FTr
Haywood Highsmith,119.67,107.3,12.37,2.8,2.5,-2.1,12.42,0,1,53,46,0,0.584,0.118
Isaiah Jackson,119.67,107.3,12.37,5.2,0.3,0.6,12.42,0,0,0,0,100,0.0,0.609
Jabari Smith Jr.,119.67,107.3,12.37,2.2,3.4,-1.0,12.42,0,0,2,85,13,0.493,0.227
Jabari Walker,119.67,107.3,12.37,4.2,1.6,-0.6,12.42,0,0,19,66,15,0.341,0.295
Jaden Ivey,119.67,107.3,12.37,-8.6,1.3,-0.1,12.42,7,76,18,0,0,0.373,0.281
Jae Crowder,119.67,107.3,12.37,-7.6,0.1,-4.4,12.42,0,0,75,25,0,0.706,0.353
Jae'Sean Tate,119.67,107.3,12.37,1.3,1.4,-1.1,12.42,3,43,51,3,0,0.281,0.333
Jahlil Okafor,119.67,107.3,12.37,79.2,0.0,7.5,12.42,0,0,0,0,100,,
Jalen Duren,119.67,107.3,12.37,-1.4,7.7,2.9,12.42,0,0,0,0,100,0.0,0.423
Jalen McDaniels,119.67,107.3,12.37,26.7,0.0,5.4,12.42,0,0,60,33,7,,
Jalen Williams,119.67,107.3,12.37,-6.9,6.9,4.0,12.42,0,8,57,34,1,0.298,0.246
Jalen Wilson,119.67,107.3,12.37,-0.5,1.4,-4.4,12.42,0,2,29,55,14,0.571,0.261
Jaren Jackson Jr.,119.67,107.3,12.37,6.1,6.0,3.1,12.42,0,0,0,45,55,0.312,0.347
Jaxson Hayes,119.67,107.3,12.37,7.4,3.0,0.4,12.42,0,0,0,1,99,0.012,0.463
Jaylen Nowell,119.67,107.3,12.37,-4.1,-0.2,-5.8,12.42,95,6,0,0,0,0.37,0.151
Jaylin Williams,119.67,107.3,12.37,4.2,2.2,2.9,12.42,0,0,1,24,76,0.711,0.11
Jeremiah Robinson-Earl,119.67,107.3,12.37,-5.1,1.5,-2.4,12.42,0,0,1,77,22,0.466,0.177
Jeremy Sochan,119.67,107.3,12.37,0.3,2.6,-0.5,12.42,0,0,0,65,35,0.191,0.266
Jevon Carter,119.67,107.3,12.37,3.0,0.3,-1.2,12.42,92,8,0,0,0,0.722,0.103
John Collins,119.67,107.3,12.37,11.4,2.7,1.1,12.42,0,0,43,55,3,0.279,0.309
Jonathan Kuminga,119.67,107.3,12.37,-3.2,1.6,-0.1,12.42,0,0,9,57,34,0.262,0.422
Jordan Clarkson,119.67,107.3,12.37,-4.9,0.8,-1.0,12.42,3,78,19,0,0,0.469,0.291
Josh Giddey,119.67,107.3,12.37,0.8,3.9,2.2,12.42,66,33,1,0,0,0.36,0.252
Josh Minott,119.67,107.3,12.37,-11.6,0.5,0.1,12.42,0,6,60,34,0,0.449,0.167
Julius Randle,119.67,107.3,12.37,-0.9,5.0,1.0,12.42,0,0,0,94,6,0.326,0.385
Justin Edwards,119.67,107.3,12.37,-8.1,0.8,-3.8,12.42,0,40,49,11,0,0.55,0.108
Keegan Murray,119.67,107.3,12.37,2.4,3.6,-2.1,12.42,0,0,11,89,1,0.537,0.095
Kelly Oubre Jr.,119.67,107.3,12.37,-1.4,2.8,-2.2,12.42,0,8,52,40,0,0.327,0.25
Keon Ellis,119.67,107.3,12.37,6.2,3.9,1.9,12.42,18,70,12,0,0,0.683,0.183
Keon Johnson,119.67,107.3,12.37,-5.9,0.4,-3.5,12.42,30,69,2,0,0,0.511,0.165
Keshad Johnson,119.67,107.3,12.37,3.5,0.1,-3.4,12.42,0,0,32,64,4,0.333,0.5
Kevon Looney,119.67,107.3,12.37,1.6,3.6,0.1,12.42,0,0,0,0,100,0.012,0.341
Kristaps Porziņģis,119.67,107.3,12.37,-7.0,4.2,4.4,12.42,0,0,0,11,89,0.435,0.341
Kyrie Irving,119.67,107.3,12.37,5.7,4.8,3.4,12.42,29,66,5,0,0,0.38,0.226
Landry Shamet,119.67,107.3,12.37,2.6,0.5,-2.8,12.42,0,54,45,1,0,0.567,0.075
Larry Nance Jr.,119.67,107.3,12.37,-7.9,1.3,1.6,12.42,0,0,0,32,68,0.49,0.084
Luka Garza,119.67,107.3,12.37,-4.3,0.5,-3.9,12.42,0,0,0,28,73,0.357,0.316
Luke Kennard,119.67,107.3,12.37,-1.1,3.5,1.7,12.42,39,50,11,1,0,0.608,0.137
Luke Kornet,119.67,107.3,12.37,4.8,5.3,3.0,12.42,0,0,0,0,100,0.01,0.404
Malaki Branham,119.67,107.3,12.37,-4.3,-0.2,-4.5,12.42,35,57,8,0,0,0.488,0.182
Malcolm Brogdon,119.67,107.3,12.37,2.1,0.8,-1.6,12.42,50,49,1,0,0,0.233,0.383
Malevy Leons,119.67,107.3,12.37,-55.4,0.0,-12.4,12.42,0,0,0,100,0,0.5,2.0
Malik Beasley,119.67,107.3,12.37,1.4,4.2,1.1,12.42,17,74,9,0,0,0.718,0.125
Markelle Fultz,119.67,107.3,12.37,5.4,-0.2,-10.1,12.42,79,21,0,0,0,0.129,0.032
Mason Plumlee,119.67,107.3,12.37,3.7,3.5,-0.6,12.42,0,0,0,1,99,0.016,0.598
Matisse Thybulle,119.67,107.3,12.37,42.7,0.2,15.8,12.42,0,33,67,0,0,0.556,0.0
Matt Ryan,119.67,107.3,12.37,-32.2,-0.1,-7.5,12.42,0,15,57,28,0,0.613,0.065
Mitchell Robinson,119.67,107.3,12.37,11.6,0.5,2.1,12.42,0,0,0,15,86,0.0,0.192
Monte Morris,119.67,107.3,12.37,8.2,0.7,-2.2,12.42,100,0,0,0,0,0.438,0.227
Moritz Wagner,119.67,107.3,12.37,-1.3,2.0,3.9,12.42,0,0,0,4,96,0.301,0.442
Myles Turner,119.67,107.3,12.37,4.7,3.4,-0.2,12.42,0,0,0,0,100,0.476,0.274
Naz Reid,119.67,107.3,12.37,6.0,5.0,1.8,12.42,0,0,0,41,59,0.5,0.158
Nickeil Alexander-Walker,119.67,107.3,12.37,3.9,3.3,-0.8,12.42,26,60,14,0,0,0.6,0.163
Nikola Jović,119.67,107.3,12.37,0.5,2.4,0.0,12.42,0,0,3,90,7,0.557,0.231
Nikola Vučević,119.67,107.3,12.37,-2.6,5.6,1.8,12.42,0,0,0,0,100,0.313,0.144
Norman Powell,119.67,107.3,12.37,6.1,4.5,2.5,12.42,11,53,36,1,0,0.459,0.288
Ochai Agbaji,119.67,107.3,12.37,-2.3,2.6,-0.5,12.42,10,65,24,1,0,0.472,0.102
Ousmane Dieng,119.67,107.3,12.37,-7.7,0.9,-1.1,12.42,0,0,1,28,71,0.568,0.128
P.J. Washington,119.67,107.3,12.37,7.0,2.1,-0.8,12.42,0,0,10,81,9,0.357,0.282
PJ Dozier,119.67,107.3,12.37,-6.9,0.1,0.6,12.42,0,100,0,0,0,1.0,2.0
Paolo Banchero,119.67,107.3,12.37,-4.0,2.5,3.4,12.42,0,0,0,88,12,0.304,0.432
Pat Connaughton,119.67,107.3,12.37,-4.5,0.7,-2.4,12.42,1,32,56,11,0,0.53,0.162
Paul Reed,119.67,107.3,12.37,6.8,1.6,4.9,12.42,0,0,0,3,97,0.193,0.298
Peyton Watson,119.67,107.3,12.37,-4.3,2.1,-1.5,12.42,0,5,66,30,0,0.327,0.336
Precious Achiuwa,119.67,107.3,12.37,-7.6,2.2,-1.2,12.42,0,0,0,52,48,0.128,0.217
Quinten Post,119.67,107.3,12.37,-0.6,1.4,1.2,12.42,0,0,0,1,99,0.621,0.092
Richaun Holmes,119.67,107.3,12.37,10.5,1.8,1.2,12.42,0,0,0,1,99,0.024,0.439
Robert Williams,119.67,107.3,12.37,0.3,1.3,2.9,12.42,0,0,0,10,90,0.038,0.218
Rui Hachimura,119.67,107.3,12.37,5.0,3.7,-0.8,12.42,0,0,1,81,19,0.41,0.196
Ryan Rollins,119.67,107.3,12.37,6.4,0.8,-0.8,12.42,87,13,0,0,0,0.43,0.145
Sam Merrill,119.67,107.3,12.37,3.1,2.6,-0.1,12.42,11,80,9,0,0,0.868,0.083
Sandro Mamukelashvili,119.67,107.3,12.37,7.1,1.4,2.9,12.42,0,0,1,57,41,0.598,0.226
Santi Aldama,119.67,107.3,12.37,4.3,4.4,3.8,12.42,0,0,7,66,27,0.474,0.13
Seth Curry,119.67,107.3,12.37,0.2,1.4,-1.7,12.42,16,78,7,0,0,0.547,0.102
Shaedon Sharpe,119.67,107.3,12.37,-4.3,2.0,-1.9,12.42,0,74,24,1,0,0.427,0.209
Simone Fontecchio,119.67,107.3,12.37,-4.4,1.6,-2.6,12.42,0,0,24,75,1,0.604,0.24
Spencer Dinwiddie,119.67,107.3,12.37,-6.1,2.8,-1.9,12.42,82,18,1,0,0,0.486,0.348
Steven Adams,119.67,107.3,12.37,2.0,1.7,0.4,12.42,0,0,0,0,100,0.007,0.582
Talen Horton-Tucker,119.67,107.3,12.37,2.4,0.6,-2.9,12.42,1,48,49,2,0,0.432,0.257
Tari Eason,119.67,107.3,12.37,4.9,4.3,3.9,12.42,0,2,23,69,6,0.334,0.197
Taurean Prince,119.67,107.3,12.37,-4.8,2.9,-1.8,12.42,0,13,72,14,0,0.653,0.084
Terry Rozier,119.67,107.3,12.37,-5.3,0.8,-3.7,12.42,100,0,0,0,0,0.482,0.173
Tim Hardaway Jr.,119.67,107.3,12.37,-3.8,2.8,-2.5,12.42,0,42,56,2,0,0.677,0.206
Tobias Harris,119.67,107.3,12.37,8.1,4.8,-0.2,12.42,0,0,0,98,2,0.327,0.208
Tre Mann,119.67,107.3,12.37,-0.2,0.2,-2.5,12.42,100,0,0,0,0,0.373,0.13
Trendon Watford,119.67,107.3,12.37,3.8,0.4,-3.4,12.42,0,0,0,73,27,0.271,0.338
Trey Lyles,119.67,107.3,12.37,-5.4,1.8,-1.0,12.42,0,0,0,53,48,0.643,0.196
Tristan Thompson,119.67,107.3,12.37,-23.6,0.3,-4.7,12.42,0,0,0,0,100,0.056,0.407
Ty Jerome,119.67,107.3,12.37,0.3,5.1,3.7,12.42,4,50,46,0,0,0.412,0.253
Tyus Jones,119.67,107.3,12.37,-2.7,3.9,-0.1,12.42,98,2,0,0,0,0.58,0.095
Vlatko Čančar,119.67,107.3,12.37,-4.9,0.0,-7.1,12.42,0,0,2,50,48,0.417,0.0
Walker Kessler,119.67,107.3,12.37,2.6,5.5,2.3,12.42,0,0,0,0,100,0.046,0.385
Xavier Tillman Sr.,119.67,107.3,12.37,-10.1,-0.2,-7.7,12.42,0,0,1,71,28,0.587,0.043
Ziaire Williams,119.67,107.3,12.37,-3.0,2.0,-2.3,12.42,1,18,66,15,1,0.563,0.238
