Player,ORtg,DRtg,NRtg,On-Off,WS,BPM,NRtg/A,PG%,SG%,SF%,PF%,C%,3PAr,FTr
CJ McCollum,119.67,107.3,12.37,2.4,1.5,-1.3,12.42,81,19,0,0,0,0.459,0.175
Cade Cunningham,119.67,107.3,12.37,4.4,5.4,3.3,12.42,88,12,0,0,0,0.296,0.258
Caleb Houstan,119.67,107.3,12.37,-10.5,0.9,-4.0,12.42,1,16,72,11,1,0.859,0.109
Caleb Martin,119.67,107.3,12.37,-1.8,0.7,-2.8,12.42,0,38,54,8,0,0.365,0.314
Cam Christie,119.67,107.3,12.37,9.7,0.0,-1.1,12.42,12,87,1,0,0,0.667,0.133
Cam Reddish,119.67,107.3,12.37,-7.0,0.7,-2.5,12.42,0,18,55,26,0,0.523,0.295
Cam Thomas,119.67,107.3,12.37,-0.8,1.2,0.2,12.42,12,63,25,0,0,0.43,0.333
Cam Whitmore,119.67,107.3,12.37,-2.8,1.4,-0.3,12.42,0,1,45,51,3,0.46,0.186
Cameron Johnson,119.67,107.3,12.37,1.6,4.9,3.1,12.42,0,7,34,49,10,0.549,0.299
Cameron Payne,119.67,107.3,12.37,7.0,2.0,0.3,12.42,80,20,0,0,0,0.584,0.127
Caris LeVert,119.67,107.3,12.37,1.7,3.4,1.3,12.42,4,18,70,8,0,0.482,0.249
Cason Wallace,119.67,107.3,12.37,-3.7,4.4,0.8,12.42,10,60,28,2,0,0.438,0.071
Charles Bassey,119.67,107.3,12.37,-13.5,1.1,-0.7,12.42,0,0,0,2,98,0.0,0.284
Chet Holmgren,119.67,107.3,12.37,3.6,2.3,3.5,12.42,0,0,0,30,70,0.346,0.397
Chris Boucher,119.67,107.3,12.37,6.0,2.6,2.2,12.42,0,0,3,91,7,0.522,0.235
Chris Duarte,119.67,107.3,12.37,8.5,0.3,1.0,12.42,13,83,5,0,0,0.577,0.308
Chris Livingston,119.67,107.3,12.37,-12.6,0.0,-6.2,12.42,0,0,8,61,31,0.333,0.444
