Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,Awards,-9999,Rk,Player,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,-9999,Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
434.0,Caleb Houstan,22.0,ORL,SF,45.0,5.0,11.6,1.0,2.8,0.367,0.9,2.4,0.355,0.2,0.4,0.444,0.52,0.3,0.3,0.929,0.3,0.6,0.9,0.4,0.3,0.1,0.1,1.0,3.2,,houstca01,342.0,Caleb Houstan,22.0,ORL,SF,45.0,5.0,522.0,7.3,0.544,0.859,0.109,2.7,6.8,4.6,5.0,1.1,0.6,4.3,11.7,0.4,0.5,0.9,0.079,-3.6,-0.3,-4.0,-0.3,,houstca01,342.0,Caleb Houstan,22.0,ORL,SF,45.0,5.0,522.0,4.5,12.2,0.367,3.7,10.5,0.355,0.8,1.7,0.444,0.52,1.2,1.3,0.929,1.2,2.8,4.0,1.7,1.1,0.3,0.6,4.3,13.9,116.0,115.0,,houstca01,342,Caleb Houstan,22,ORL,SF,45,5,522,1,16,72,11,1,-10.8,-10.5,2,2,15,1,5,1,45,1,5,,houstca01,406,Caleb Houstan,ORL,$2019699,$2187699,,,,,$2019699,houstca01,19,ORL,E,SE,32,38,0.457,-1.54,108.4,109.97,-1.57,-1.86,108.13,110.04,-1.9
295.0,Cameron Payne,30.0,NYK,PG,61.0,1.0,14.3,2.4,6.0,0.408,1.3,3.5,0.363,1.2,2.5,0.47,0.514,0.7,0.8,0.891,0.2,1.2,1.4,2.7,0.5,0.2,0.7,1.5,6.8,,payneca01,260.0,Cameron Payne,30.0,NYK,PG,61.0,1.0,870.0,14.5,0.54,0.584,0.127,1.6,9.3,5.5,25.5,1.9,1.5,9.9,21.2,1.2,0.8,2.0,0.109,0.4,0.0,0.3,0.5,,payneca01,260.0,Cameron Payne,30.0,NYK,PG,61.0,1.0,870.0,8.4,20.6,0.408,4.4,12.0,0.363,4.0,8.6,0.47,0.514,2.3,2.6,0.891,0.7,4.1,4.8,9.2,1.9,0.8,2.4,5.3,23.5,116.0,116.0,,payneca01,260,Cameron Payne,30,NYK,PG,61,1,870,80,20,0,0,0,9.7,7.0,19,13,44,4,20,9,385,5,8,,payneca01,384,Cameron Payne,NYK,$2087519,,,,,,$2087519,payneca01,9,NYK,E,A,43,26,0.623,3.96,118.57,114.62,3.94,3.27,118.55,115.3,3.25
95.0,Chet Holmgren,22.0,OKC,C,22.0,22.0,27.2,5.3,10.6,0.5,1.3,3.7,0.358,4.0,7.0,0.575,0.562,3.1,4.2,0.731,1.8,6.8,8.5,1.9,0.8,2.5,1.8,2.1,15.0,,holmgch01,317.0,Chet Holmgren,22.0,OKC,C,22.0,22.0,598.0,20.5,0.602,0.346,0.397,7.1,26.1,16.8,9.7,1.4,9.4,12.7,22.3,0.8,1.5,2.3,0.184,1.2,2.3,3.5,0.8,,holmgch01,317.0,Chet Holmgren,22.0,OKC,C,22.0,22.0,598.0,9.4,18.8,0.5,2.3,6.5,0.358,7.1,12.3,0.575,0.562,5.5,7.5,0.731,3.1,12.0,15.1,3.4,1.4,4.5,3.2,3.8,26.6,116.0,102.0,,holmgch01,317,Chet Holmgren,22,OKC,C,22,22,598,0,0,0,30,70,15.7,3.6,6,27,29,5,47,2,89,10,23,,holmgch01,155,Chet Holmgren,OKC,$10880640,$13731368,,,,,$24612008,holmgch01,1,OKC,W,NW,57,12,0.826,12.74,119.87,107.2,12.67,12.71,119.77,107.13,12.64
93.0,Christian Braun,23.0,DEN,SG,67.0,65.0,33.5,5.9,10.3,0.572,1.1,2.8,0.39,4.8,7.5,0.64,0.625,2.3,2.7,0.826,1.2,3.8,5.0,2.4,1.1,0.5,1.0,2.1,15.2,,braunch01,15.0,Christian Braun,23.0,DEN,SG,67.0,65.0,2243.0,15.9,0.658,0.27,0.266,4.3,11.9,8.3,9.4,1.6,1.4,7.8,15.8,5.1,1.6,6.7,0.143,0.7,-0.5,0.2,1.2,,braunch01,15.0,Christian Braun,23.0,DEN,SG,67.0,65.0,2243.0,8.5,14.8,0.572,1.6,4.0,0.39,6.9,10.8,0.64,0.625,3.2,3.9,0.826,1.8,5.5,7.2,3.5,1.6,0.7,1.4,3.1,21.7,132.0,117.0,,braunch01,15,Christian Braun,23,DEN,SG,67,65,2243,3,68,29,0,0,8.4,11.9,33,15,76,10,97,2,381,22,56,,braunch01,301,Christian Braun,DEN,$3089640,$4921797,,,,,$8011437,braunch01,7,DEN,W,NW,44,26,0.629,4.19,119.97,115.91,4.05,4.16,119.99,115.95,4.04
222.0,Clint Capela,30.0,ATL,C,55.0,41.0,21.4,4.0,7.1,0.559,0.0,0.0,0.0,4.0,7.1,0.56,0.559,0.9,1.8,0.536,3.2,5.4,8.5,1.1,0.6,1.0,0.9,1.9,8.9,,capelca01,197.0,Clint Capela,30.0,ATL,C,55.0,41.0,1176.0,17.8,0.564,0.003,0.249,15.6,28.1,21.7,7.5,1.3,4.1,9.8,16.7,1.7,1.5,3.2,0.131,-0.6,-0.5,-1.2,0.3,,capelca01,197.0,Clint Capela,30.0,ATL,C,55.0,41.0,1176.0,8.6,15.5,0.559,0.0,0.0,0.0,8.6,15.4,0.56,0.559,2.1,3.8,0.536,6.9,11.7,18.6,2.5,1.3,2.1,1.9,4.2,19.3,120.0,112.0,,capelca01,197,Clint Capela,30,ATL,C,55,41,1176,0,0,0,0,100,-3.1,-1.4,17,9,59,10,49,10,146,11,36,,capelca01,79,Clint Capela,ATL,$22265280,,,,,,$22265280,capelca01,20,ATL,E,SE,33,36,0.478,-2.07,113.42,115.31,-1.89,-2.19,113.37,115.36,-2.0
456.0,Cory Joseph,33.0,ORL,PG,38.0,4.0,9.5,0.9,2.4,0.385,0.6,1.6,0.35,0.4,0.8,0.452,0.5,0.2,0.2,0.667,0.2,0.8,1.0,1.1,0.4,0.1,0.3,0.8,2.6,,josepco01,379.0,Cory Joseph,33.0,ORL,PG,38.0,4.0,360.0,9.5,0.511,0.659,0.099,2.7,10.2,6.2,16.6,2.2,1.1,11.2,13.0,0.1,0.5,0.6,0.084,-3.3,1.3,-2.1,0.0,,josepco01,379.0,Cory Joseph,33.0,ORL,PG,38.0,4.0,360.0,4.8,12.6,0.385,2.9,8.3,0.35,1.9,4.3,0.452,0.5,0.8,1.2,0.667,1.2,4.2,5.4,5.7,2.2,0.6,1.7,4.4,13.4,110.0,111.0,,josepco01,379,Cory Joseph,33,ORL,PG,38,4,360,77,23,0,0,0,-2.8,-1.0,7,4,16,1,5,8,103,1,4,,josepco01,293,Cory Joseph,ORL,$3303771,$3468960,,,,,$3303771,josepco01,19,ORL,E,SE,32,38,0.457,-1.54,108.4,109.97,-1.57,-1.86,108.13,110.04,-1.9
121.0,D'Angelo Russell,28.0,LAL,PG,29.0,10.0,26.3,4.4,10.7,0.415,1.9,5.8,0.333,2.5,4.9,0.51,0.505,1.6,1.8,0.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,,russeda01,159.0,D'Angelo Russell,28.0,2TM,PG,53.0,31.0,1360.0,14.5,0.53,0.559,0.229,1.5,11.0,6.2,31.4,1.9,1.6,13.3,23.9,0.9,1.2,2.1,0.074,0.3,-0.4,-0.1,0.7,,russeda01,159.0,D'Angelo Russell,28.0,2TM,PG,53.0,31.0,1360.0,8.5,21.3,0.398,3.8,11.9,0.318,4.7,9.4,0.5,0.487,4.1,4.9,0.836,0.7,4.8,5.4,10.0,1.9,0.8,3.6,3.8,24.8,110.0,115.0,,russeda01,159,D'Angelo Russell,28,2TM,PG,53,31,1360,100,0,0,0,0,0.0,2.0,61,22,50,11,57,10,656,11,14,,russeda01,93,D'Angelo Russell,BRK,$18692307,,,,,,$18692307,russeda01,13,LAL,W,P,43,26,0.623,1.35,115.12,113.75,1.36,1.29,114.78,113.47,1.31
542.0,Daishen Nix,22.0,MIN,PG,3.0,0.0,4.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.7,0.5,0.0,1.3,1.3,1.0,0.0,0.0,1.3,0.3,0.3,,nixda01,536.0,Daishen Nix,22.0,MIN,PG,3.0,0.0,13.0,-7.0,0.266,1.0,2.0,0.0,33.5,17.0,27.5,0.0,0.0,68.0,19.6,-0.1,0.0,-0.1,-0.327,-15.0,-1.3,-16.3,0.0,,nixda01,536.0,Daishen Nix,22.0,MIN,PG,3.0,0.0,13.0,0.0,3.8,0.0,0.0,3.8,0.0,0.0,0.0,,0.0,3.8,7.6,0.5,0.0,15.1,15.1,11.4,0.0,0.0,15.1,3.8,3.8,44.0,111.0,,nixda01,536,Daishen Nix,22,MIN,PG,3,0,13,100,0,0,0,0,28.2,24.0,1,2,1,0,1,0,7,0,0,,nixda01,488,Daishen Nix,SAC,$119972,,,,,,$119972,nixda01,6,MIN,W,NW,40,31,0.563,4.0,115.77,111.64,4.13,4.52,115.92,111.27,4.65
136.0,Daniel Gafford,26.0,DAL,C,51.0,28.0,21.9,5.0,7.1,0.699,0.0,0.0,,5.0,7.1,0.699,0.699,2.4,3.4,0.699,2.7,4.1,6.9,1.4,0.4,1.9,1.2,2.7,12.3,,gaffoda01,211.0,Daniel Gafford,26.0,DAL,C,51.0,28.0,1115.0,24.6,0.716,0.0,0.478,13.7,20.2,17.0,10.1,0.9,7.4,12.2,19.2,3.9,1.4,5.4,0.23,2.5,1.2,3.7,1.6,,gaffoda01,211.0,Daniel Gafford,26.0,DAL,C,51.0,28.0,1115.0,11.0,15.7,0.699,0.0,0.0,,11.0,15.7,0.699,0.699,5.3,7.5,0.699,6.0,9.2,15.2,3.2,0.9,4.2,2.6,5.9,27.2,137.0,112.0,,gaffoda01,211,Daniel Gafford,26,DAL,C,51,28,1115,0,0,0,1,99,1.8,3.4,15,20,80,18,81,4,171,25,29,,gaffoda01,119,Daniel Gafford,DAL,$13394160,$14386320,,,,,$27780480,gaffoda01,16,DAL,W,SW,33,37,0.471,-0.49,115.61,116.04,-0.43,0.12,115.67,115.51,0.16
213.0,Dante Exum,29.0,DAL,PG,18.0,12.0,19.1,3.3,6.9,0.48,1.2,2.6,0.447,2.2,4.3,0.5,0.564,1.3,1.7,0.742,0.2,1.4,1.7,2.8,0.7,0.2,1.1,1.7,9.1,,exumda01,384.0,Dante Exum,29.0,DAL,PG,18.0,12.0,344.0,14.1,0.591,0.376,0.248,1.3,8.1,4.7,20.8,1.7,0.7,12.1,19.6,0.5,0.2,0.7,0.092,-1.0,-1.0,-2.0,0.0,,exumda01,384.0,Dante Exum,29.0,DAL,PG,18.0,12.0,344.0,8.4,17.6,0.48,3.0,6.6,0.447,5.5,11.0,0.5,0.564,3.2,4.4,0.742,0.6,3.7,4.2,7.0,1.7,0.4,2.7,4.4,23.1,117.0,119.0,,exumda01,384,Dante Exum,29,DAL,PG,18,12,344,91,9,0,0,0,-7.9,-8.4,13,2,24,3,14,4,121,3,14,,exumda01,298,Dante Exum,DAL,$3150000,,,,,,$3150000,exumda01,16,DAL,W,SW,33,37,0.471,-0.49,115.61,116.04,-0.43,0.12,115.67,115.51,0.16
