Player,ORtg,DRtg,NRtg,On-Off,WS,BPM,NRtg/A,PG%,SG%,SF%,PF%,C%,3PAr,FTr
Kristaps Porziņģis,120.33,111.51,8.82,-7.0,4.2,4.4,8.35,0,0,0,11,89,0.435,0.341
Kyrie Irving,115.61,116.04,-0.43,5.7,4.8,3.4,0.16,29,66,5,0,0,0.38,0.226
Landry Shamet,118.57,114.62,3.94,2.6,0.5,-2.8,3.25,0,54,45,1,0,0.567,0.075
Larry Nance Jr.,113.42,115.31,-1.89,-7.9,1.3,1.6,-2.0,0,0,0,32,68,0.49,0.084
Luka Garza,115.77,111.64,4.13,-4.3,0.5,-3.9,4.65,0,0,0,28,73,0.357,0.316
Luke Kennard,118.04,112.7,5.34,-1.1,3.5,1.7,5.03,39,50,11,1,0,0.608,0.137
Luke Kornet,120.33,111.51,8.82,4.8,5.3,3.0,8.35,0,0,0,0,100,0.01,0.404
Malevy Leons,119.87,107.2,12.67,-55.4,0.0,-12.4,12.64,0,0,0,100,0,0.5,2.0
Malik Beasley,114.35,112.05,2.3,1.4,4.2,1.1,1.66,17,74,9,0,0,0.718,0.125
Markelle Fultz,116.92,116.12,0.8,5.4,-0.2,-10.1,0.71,79,21,0,0,0,0.129,0.032
Matt Ryan,118.57,114.62,3.94,-32.2,-0.1,-7.5,3.25,0,15,57,28,0,0.613,0.065
Mitchell Robinson,118.57,114.62,3.94,11.6,0.5,2.1,3.25,0,0,0,15,86,0.0,0.192
Moritz Wagner,108.4,109.97,-1.57,-1.3,2.0,3.9,-1.9,0,0,0,4,96,0.301,0.442
Moses Brown,115.61,116.04,-0.43,-3.5,0.4,0.1,0.16,0,0,0,0,100,0.0,0.224
Myles Turner,116.18,114.94,1.24,4.7,3.4,-0.2,0.64,0,0,0,0,100,0.476,0.274
Naz Reid,115.77,111.64,4.13,6.0,5.0,1.8,4.65,0,0,0,41,59,0.5,0.158
Nickeil Alexander-Walker,115.77,111.64,4.13,3.9,3.3,-0.8,4.65,26,60,14,0,0,0.6,0.163
Nikola Jović,111.97,113.79,-1.82,0.5,2.4,0.0,-1.85,0,0,3,90,7,0.557,0.231
Norman Powell,113.87,110.64,3.23,6.1,4.5,2.5,3.27,11,53,36,1,0,0.459,0.288
Orlando Robinson,116.92,116.12,0.8,-3.4,0.7,-2.9,0.71,0,0,0,3,97,0.176,0.307
Ousmane Dieng,119.87,107.2,12.67,-7.7,0.9,-1.1,12.64,0,0,1,28,71,0.568,0.128
P.J. Washington,115.61,116.04,-0.43,7.0,2.1,-0.8,0.16,0,0,10,81,9,0.357,0.282
PJ Dozier,115.77,111.64,4.13,-6.9,0.1,0.6,4.65,0,100,0,0,0,1.0,2.0
Paolo Banchero,108.4,109.97,-1.57,-4.0,2.5,3.4,-1.9,0,0,0,88,12,0.304,0.432
Pat Connaughton,114.81,112.48,2.33,-4.5,0.7,-2.4,2.0,1,32,56,11,0,0.53,0.162
Paul Reed,114.35,112.05,2.3,6.8,1.6,4.9,1.66,0,0,0,3,97,0.193,0.298
Peyton Watson,119.97,115.91,4.05,-4.3,2.1,-1.5,4.04,0,5,66,30,0,0.327,0.336
Precious Achiuwa,118.57,114.62,3.94,-7.6,2.2,-1.2,3.25,0,0,0,52,48,0.128,0.217
Quinten Post,114.36,111.75,2.61,-0.6,1.4,1.2,2.98,0,0,0,1,99,0.621,0.092
Rui Hachimura,115.12,113.75,1.36,5.0,3.7,-0.8,1.31,0,0,1,81,19,0.41,0.196
Ryan Rollins,114.81,112.48,2.33,6.4,0.8,-0.8,2.0,87,13,0,0,0,0.43,0.145
Sam Merrill,122.44,112.03,10.41,3.1,2.6,-0.1,9.56,11,80,9,0,0,0.868,0.083
Santi Aldama,118.04,112.7,5.34,4.3,4.4,3.8,5.03,0,0,7,66,27,0.474,0.13
Simone Fontecchio,114.35,112.05,2.3,-4.4,1.6,-2.6,1.66,0,0,24,75,1,0.604,0.24
Spencer Dinwiddie,115.61,116.04,-0.43,-6.1,2.8,-1.9,0.16,82,18,1,0,0,0.486,0.348
Steven Adams,114.6,110.19,4.4,2.0,1.7,0.4,4.8,0,0,0,0,100,0.007,0.582
Tari Eason,114.6,110.19,4.4,4.9,4.3,3.9,4.8,0,2,23,69,6,0.334,0.197
Taurean Prince,114.81,112.48,2.33,-4.8,2.9,-1.8,2.0,0,13,72,14,0,0.653,0.084
Terry Rozier,111.97,113.79,-1.82,-5.3,0.8,-3.7,-1.85,100,0,0,0,0,0.482,0.173
Tim Hardaway Jr.,114.35,112.05,2.3,-3.8,2.8,-2.5,1.66,0,42,56,2,0,0.677,0.206
Tobias Harris,114.35,112.05,2.3,8.1,4.8,-0.2,1.66,0,0,0,98,2,0.327,0.208
Torrey Craig,120.33,111.51,8.82,-9.7,0.7,0.7,8.35,0,13,24,61,3,0.754,0.145
Trey Lyles,116.92,116.12,0.8,-5.4,1.8,-1.0,0.71,0,0,0,53,48,0.643,0.196
Tristan Thompson,122.44,112.03,10.41,-23.6,0.3,-4.7,9.56,0,0,0,0,100,0.056,0.407
Ty Jerome,122.44,112.03,10.41,0.3,5.1,3.7,9.56,4,50,46,0,0,0.412,0.253
Vlatko Čančar,119.97,115.91,4.05,-4.9,0.0,-7.1,4.04,0,0,2,50,48,0.417,0.0
Wendell Moore Jr.,114.35,112.05,2.3,-7.1,0.7,-1.8,1.66,1,33,48,18,0,0.292,0.229
Xavier Tillman Sr.,120.33,111.51,8.82,-10.1,-0.2,-7.7,8.35,0,0,1,71,28,0.587,0.043
