Player,2024-25,2025-26,Guaranteed
GG Jackson II,$1891857,$2221677,$4113534
Gabe Vincent,$11000000,$11500000,$22500000
Garrett Temple,$2087519,,$2087519
Garrison Mathews,$2230253,,$2230253
Gary Harris,$7500000,$7500000,$7500000
Gary Payton II,$9130000,,$9130000
Gary Trent Jr.,$2087519,,$2087519
Georges Niang,$8500000,$8200000,$16700000
Giannis Antetokounmpo,$48787676,$54126450,$161370692
Goga Bitadze,$9057971,$8333333,$25000000
Gradey Dick,$4763760,$4990560,$9754320
Grant Williams,$13025250,$13645500,$40936500
Grayson Allen,$15625000,$16875000,$50625000
Guerschon Yabusele,$2087519,,$2087519
Gui Santos,$1891857,$2221677,$1891857
Harrison Barnes,$18000000,$19000000,$37000000
Haywood Highsmith,$5200000,$5616000,$10816000
Herbert Jones,$12976362,$13937574,$41812722
Hunter Tyson,$1891857,$2221677,$4113534
Immanuel Quickley,$32500000,$32500000,$162500000
Isaac Okoro,$10185186,$11000000,$33000000
Isaiah Collier,$2512680,$2638200,$5150880
Isaiah Hartenstein,$30000000,$28500000,$58500000
Isaiah Jackson,$4435381,,$4435381
Isaiah Joe,$12991650,$12362338,$36676994
Isaiah Stewart,$15000000,$15000000,$45000000
Ivica Zubac,$11743210,$18102000,$70393690
Ja Morant,$36725670,$39446090,$163225200
Ja'Kobe Walter,$3465000,$3638160,$7103160
Jabari Smith Jr.,$9770880,$12350392,$22121272
Jabari Walker,$2019699,,$2019699
Jaden Hardy,$2019699,$6000000,$14019699
Jaden Ivey,$7977240,$10107163,$18084403
Jaden McDaniels,$23017242,$24858622,$133500000
Jaden Springer,$4018363,,$4018363
Jae Crowder,$1655619,,$1655619
Jae'Sean Tate,$7565217,,$7565217
Jahlil Okafor,$119972,,$119972
Jaime Jaquez Jr.,$3685800,$3861600,$7547400
Jake LaRavia,$3352680,$5163127,$3352680
Jakob Poeltl,$19500000,$19500000,$39000000
Jalen Brunson,$24960001,$34944001,$138178564
Jalen Duren,$4536840,$6483144,$11019984
Jalen Green,$12483048,$33333333,$81816381
Jalen Hood-Schifino,$3879840,,$3879840
Jalen Johnson,$4510905,$30000000,$154510905
Jalen McDaniels,$4741800,,$4741800
Jalen Pickett,$1891857,$2221677,$4113534
Jalen Smith,$8571429,$9000000,$27000000
Jalen Suggs,$9188385,$35000000,$132988385
Jalen Williams,$4775760,$6580997,$11356757
Jalen Wilson,$1891857,$2221677,$1891857
Jamal Murray,$36016200,$46394100,$243861768
Jamal Shead,$1862265,$1955377,$3817642
James Harden,$33653846,$36346154,$33653846
James Johnson,$2087519,,$2087519
James Wiseman,$2237691,,$2237691
Jamison Battle,$1000000,$1955377,$1000000
Jarace Walker,$6362520,$6665520,$13028040
Jared Butler,$745726,$2349578,$745726
Jared McCain,$4020360,$4221360,$8241720
Jaren Jackson Jr.,$25257798,$23413395,$48671193
Jarred Vanderbilt,$10714286,$11571429,$34714286
Jarrett Allen,$20000000,$20000000,$130720000
Javonte Green,$1728488,,$1728488
Jaxson Hayes,$2463946,,$2463946
Jay Huff,$2088033,$2349578,$4437611
Jaylen Brown,$49205800,$53142264,$285393640
Jaylen Nowell,$446743,,$278782
Jaylen Wells,$1157153,$1955377,$3112530
