Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Shai Gilgeous-Alexander,26,OKC,PG,66,66,34.4,11.4,21.6,.526,2.2,5.8,.371,9.2,15.8,.582,.575,8.1,9.0,.901,0.9,4.1,5.0,6.2,1.8,1.0,2.5,2.2,33.0,
Giannis Antetokounmpo,30,MIL,PF,55,55,33.9,12.1,20.0,.603,0.1,0.8,.182,11.9,19.2,.621,.607,6.1,10.2,.598,2.3,9.8,12.1,6.0,0.8,1.2,3.3,2.5,30.4,
Nikola JokiÄ,29,DEN,C,62,62,36.5,11.1,19.4,.575,1.9,4.6,.413,9.2,14.8,.624,.623,5.0,6.2,.807,2.9,10.0,12.8,10.3,1.8,0.7,3.3,2.3,29.1,
Anthony Edwards,23,MIN,SG,67,67,36.4,9.1,20.5,.444,4.0,10.1,.400,5.1,10.4,.487,.543,5.3,6.4,.838,0.7,5.1,5.8,4.6,1.1,0.6,3.2,1.9,27.6,
Luka DonÄiÄ,25,2TM,PG,37,37,35.2,9.1,20.7,.439,3.4,9.7,.346,5.7,11.0,.520,.520,5.8,7.6,.771,0.9,7.6,8.5,7.9,2.0,0.4,3.7,2.6,27.4,
Luka DonÄiÄ,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,
Luka DonÄiÄ,25,LAL,PG,15,15,34.5,8.0,20.0,.400,3.3,9.7,.336,4.7,10.3,.461,.482,6.9,8.9,.776,1.1,7.7,8.8,8.1,1.9,0.5,4.2,2.6,26.2,
Jayson Tatum,26,BOS,PF,63,63,36.6,9.2,20.3,.454,3.6,10.2,.352,5.6,10.1,.557,.543,5.1,6.2,.812,0.7,8.1,8.7,5.9,1.1,0.5,3.0,2.2,27.1,
Kevin Durant,36,PHO,PF,56,56,36.9,9.5,18.1,.526,2.5,6.0,.416,7.0,12.1,.580,.595,4.9,5.9,.829,0.4,5.7,6.1,4.2,0.8,1.3,3.1,1.7,26.4,
Jalen Brunson,28,NYK,PG,61,61,35.4,9.1,18.7,.490,2.3,6.0,.384,6.9,12.7,.541,.552,5.7,7.0,.825,0.4,2.6,3.0,7.4,1.0,0.1,2.5,2.2,26.3,
