Player,Team,Player Fit Score,Trade Value Score,Net Rating Impact,Salary Cap Impact Score,On-Off Impact,Team,eFG%,TS%,USG%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,NRtg,Value_per_Dollar,Cap_Impact_Score,2024-25_Payroll,2025-26_Payroll,KMeans_Cluster,Hierarchical_Cluster,GMM_Cluster
Malcolm Brogdon,WAS,-3.812903225806452e-07,-11.82,-10.69629020467289,0.0839763438473104,-10.696290204672882,WAS,-0.5149114985,-0.2075487255,-1.0399190754999998,1.39127153,-0.0555400825,2.56405094,-0.944615254,106.89,118.71,-11.82,-7.625806451612904e-07,0.1679526876946208,335366626,309385558,3,1,3
Malik Beasley,DET,8.594230653539204e-08,2.18,2.361151101453161,0.1124981752321864,2.361151101453168,DET,0.03319170675,0.245107392375,0.105279498625,-0.13519343125,-0.09488097375,0.145805948125,-0.095497035375,114.34,112.16,2.18,6.875384522831364e-07,0.8999854018574912,1134465760,1019746176,4,4,2
Markelle Fultz,SAC,1.5719054682998314e-08,0.7,0.8793592100391607,-0.0009915644528828,0.8793592100391643,SAC,-0.8673847948000001,-0.8601793674,-0.254640053,-0.5562373208,0.314727133,-0.0647236162,-0.4917522040000001,116.95,116.25,0.7,7.859527341499157e-08,-0.004957822264414,841318980,842154030,4,4,2
Matt Ryan,NYK,8.433965101675008e-08,4.15,4.8790956626521975,-0.040417405870822,4.879095662652204,NYK,0.1068462836666666,0.0052576928333332,-0.3643125093333333,-0.5596133886666667,0.4998607406666667,0.1363226343333333,0.2887922395,118.56,114.41,4.15,5.060379061005004e-07,-0.242504435224932,1130255244,1177861344,4,4,2
Mitchell Robinson,NYK,8.433965101675008e-08,4.15,-3.611881627000992,-0.040417405870822,-3.611881627000996,NYK,0.1068462836666666,0.0052576928333332,-0.3643125093333333,-0.5596133886666667,0.4998607406666667,0.1363226343333333,0.2887922395,118.56,114.41,4.15,5.060379061005004e-07,-0.242504435224932,1130255244,1177861344,4,4,2
Moritz Wagner,ORL,-5.32e-08,-1.33,-0.7885013051498889,-0.2458188289446188,-0.7944298863916194,ORL,-0.2504779475,-0.1480483007499999,0.6597010302499999,0.39292003875,-0.43969231825,-0.0533436394999999,-0.3785364415,108.56,109.9,-1.33,-2.128e-07,-0.9832753157784752,601436952,797470124,2,2,1
Moses Brown,DAL,-7.866830296736841e-09,-0.34,-0.3128225188668689,-0.0780422912977279,-0.3220231811864906,DAL,0.4950258106666667,0.6580445036666667,0.5051901116666666,0.257877325,0.1542780063333333,0.1932225166666666,-0.3739341746666667,115.66,116.01,-0.34,-2.360049089021052e-08,-0.2341268738931837,525715590,570216600,2,5,4
Myles Turner,IND,3.082292466877211e-08,1.3,2.249519732728262,0.0216212432155607,2.232215734784209,IND,0.4094272479999999,0.423140159,0.2961459275,-0.7211823500000001,0.1295935255,-0.2240432859999999,2.7003800250000003,116.06,114.77,1.3,6.164584933754422e-08,0.0432424864311214,337139534,330004428,0,5,0
Naz Reid,MIN,1.0632572827533785e-07,4.66,5.990822684441389,0.0649632690242837,5.990822684441385,MIN,0.6761762563333334,0.0275117886666666,0.265849669,0.1903559681666666,-0.067882323,-0.1671434038333333,-0.1438208365,116.08,111.42,4.66,6.379543696520272e-07,0.3897796141457022,1214953092,1140840372,4,4,2
Nickeil Alexander-Walker,MIN,1.0632572827533785e-07,4.66,-14.89727577098437,0.0649632690242837,-14.89727577098436,MIN,0.6761762563333334,0.0275117886666666,0.265849669,0.1903559681666666,-0.067882323,-0.1671434038333333,-0.1438208365,116.08,111.42,4.66,6.379543696520272e-07,0.3897796141457022,1214953092,1140840372,4,4,2
Orlando Robinson,SAC,1.5719054682998314e-08,0.7,4.942280901750781,-0.0009915644528828,4.942280901750801,SAC,-0.8673847948000001,-0.8601793674,-0.254640053,-0.5562373208,0.314727133,-0.0647236162,-0.4917522040000001,116.95,116.25,0.7,7.859527341499157e-08,-0.004957822264414,841318980,842154030,4,4,2
PJ Dozier,MIN,1.0632572827533785e-07,4.66,-2.750368753034628,0.0649632690242837,-2.7503687530346257,MIN,0.6761762563333334,0.0275117886666666,0.265849669,0.1903559681666666,-0.067882323,-0.1671434038333333,-0.1438208365,116.08,111.42,4.66,6.379543696520272e-07,0.3897796141457022,1214953092,1140840372,4,4,2
Paolo Banchero,ORL,-5.32e-08,-1.33,-0.4696422592147377,-0.2458188289446188,-0.4731734040208648,ORL,-0.2504779475,-0.1480483007499999,0.6597010302499999,0.39292003875,-0.43969231825,-0.0533436394999999,-0.3785364415,108.56,109.9,-1.33,-2.128e-07,-0.9832753157784752,601436952,797470124,2,2,1
Pat Connaughton,MIL,4.8987781258529306e-08,2.39,-3.353352976882211,0.108144598340233,-3.367383742475868,MIL,0.0491170208333333,0.0571839164999999,-0.1916238353333333,-0.1978918338333333,-0.2653581708333333,-0.1671434039999999,-0.4567749766666666,114.96999999999998,112.57,2.39,2.9392668755117586e-07,0.648867590041398,1095601206,988680726,4,4,2
Paul Reed,DET,8.594230653539204e-08,2.18,31.62904618925997,0.1124981752321864,31.62904618926007,DET,0.03319170675,0.245107392375,0.105279498625,-0.13519343125,-0.09488097375,0.145805948125,-0.095497035375,114.34,112.16,2.18,6.875384522831364e-07,0.8999854018574912,1134465760,1019746176,4,4,2
Peyton Watson,DEN,7.235110638261624e-08,3.72,-5.65189592841322,-0.0847526992765661,-5.651895928413218,DEN,-0.2176319872499999,-0.1925564924999999,-0.6127418295,-0.64160360775,0.97195144,-0.3378430504999999,-0.08859363525,119.89,116.17,3.72,2.8940442553046497e-07,-0.3390107971062644,730297260,797923424,4,4,2
Precious Achiuwa,NYK,8.433965101675008e-08,4.15,-5.677952773984899,-0.040417405870822,-5.677952773984906,NYK,0.1068462836666666,0.0052576928333332,-0.3643125093333333,-0.5596133886666667,0.4998607406666667,0.1363226343333333,0.2887922395,118.56,114.41,4.15,5.060379061005004e-07,-0.242504435224932,1130255244,1177861344,4,4,2
Rui Hachimura,LAL,1.8879987818303512e-08,0.92,-3.562086336268911,-0.0064306956196978,-3.523368006526844,LAL,0.6662229353333333,0.7618969509999999,-0.6763639723333333,-0.6777757633333333,-0.4011228166666666,-0.2619765406666666,0.15992877,115.06,114.15000000000002,0.92,5.6639963454910547e-08,-0.0192920868590934,564066459,567717276,0,5,4
Ryan Rollins,MIL,4.8987781258529306e-08,2.39,9.533248180286408,0.108144598340233,9.573136247986373,MIL,0.0491170208333333,0.0571839164999999,-0.1916238353333333,-0.1978918338333333,-0.2653581708333333,-0.1671434039999999,-0.4567749766666666,114.96999999999998,112.57,2.39,2.9392668755117586e-07,0.648867590041398,1095601206,988680726,4,4,2
Sam Merrill,CLE,2.74739712032483e-07,10.09,-18.374864786080774,-0.1851725223475906,-18.37486478608076,CLE,0.0212477215,-0.3594622107499999,-0.38551989025,-0.0773179825,-0.314727133,0.06045612475,-0.30950244,122.38,112.29,10.09,1.098958848129932e-06,-0.7406900893903624,676320652,830016992,4,4,2
Sandro Mamukelashvili,SAS,-5.7965458325992e-08,-2.02,-3.9984947290496455,0.108799588628645,-3.9984947290496375,SAS,1.161898331,1.1204351615,-0.2673644815,-0.4896805545,0.1666202464999999,0.2880556535,0.7398143825,114.94,116.96,-2.02,-1.15930916651984e-07,0.21759917725729,323367234,291637224,0,5,4
Santi Aldama,MEM,1.3559997680096784e-07,4.98,21.417163931927067,0.2015567868838852,21.41716393192708,MEM,0.5169231175,0.6160089895,-0.0946758084999999,0.6678284205,-0.2962137725,-0.224043286,-0.5027976445,117.9,112.92,4.98,2.711999536019357e-07,0.4031135737677704,326482586,271716318,0,5,4
Simone Fontecchio,DET,8.594230653539204e-08,2.18,-8.440595883767637,0.1124981752321864,-8.440595883767664,DET,0.03319170675,0.245107392375,0.105279498625,-0.13519343125,-0.09488097375,0.145805948125,-0.095497035375,114.34,112.16,2.18,6.875384522831364e-07,0.8999854018574912,1134465760,1019746176,4,4,2
