Player,Team,Player Fit Score,Trade Value Score,Net Rating Impact,Salary Cap Impact Score,On-Off Impact
Luke Kornet,BOS,1.833117234147194e-07,9.02,-6.968438436612542,-0.1426859100071145,-6.96843843661255
Malcolm Brogdon,WAS,-3.812903225806452e-07,-11.82,-10.69629020467289,0.0839763438473104,-10.696290204672882
Malik Beasley,DET,8.594230653539204e-08,2.18,2.361151101453161,0.1124981752321864,2.361151101453168
Markelle Fultz,SAC,1.5719054682998314e-08,0.7,0.8793592100391607,-0.0009915644528828,0.8793592100391643
Matt Ryan,NYK,8.433965101675008e-08,4.15,4.8790956626521975,-0.040417405870822,4.879095662652204
Mitchell Robinson,NYK,8.433965101675008e-08,4.15,-3.6118816270009915,-0.040417405870822,-3.611881627000996
Moritz Wagner,ORL,-5.32e-08,-1.33,-0.7885013051498889,-0.2458188289446188,-0.7944298863916194
Moses Brown,DAL,-7.866830296736841e-09,-0.34,-0.31282251886686896,-0.0780422912977279,-0.3220231811864906
Myles Turner,IND,3.082292466877211e-08,1.3,2.249519732728262,0.0216212432155607,2.232215734784209
Naz Reid,MIN,1.0632572827533785e-07,4.66,5.990822684441389,0.0649632690242837,5.990822684441385
Nickeil Alexander-Walker,MIN,1.0632572827533785e-07,4.66,-14.89727577098437,0.0649632690242837,-14.89727577098436
Orlando Robinson,SAC,1.5719054682998314e-08,0.7,4.942280901750781,-0.0009915644528828,4.942280901750801
PJ Dozier,MIN,1.0632572827533785e-07,4.66,-2.750368753034628,0.0649632690242837,-2.7503687530346257
Paolo Banchero,ORL,-5.32e-08,-1.33,-0.46964225921473773,-0.2458188289446188,-0.4731734040208648
Pat Connaughton,MIL,4.8987781258529306e-08,2.39,-3.353352976882211,0.108144598340233,-3.367383742475868
Paul Reed,DET,8.594230653539204e-08,2.18,31.62904618925997,0.1124981752321864,31.62904618926007
Peyton Watson,DEN,7.235110638261624e-08,3.72,-5.65189592841322,-0.0847526992765661,-5.651895928413218
Precious Achiuwa,NYK,8.433965101675008e-08,4.15,-5.677952773984899,-0.040417405870822,-5.677952773984906
Rui Hachimura,LAL,1.8879987818303512e-08,0.92,-3.562086336268911,-0.0064306956196978,-3.523368006526844
Ryan Rollins,MIL,4.8987781258529306e-08,2.39,9.533248180286408,0.108144598340233,9.573136247986373
Sam Merrill,CLE,2.74739712032483e-07,10.09,-18.374864786080778,-0.1851725223475906,-18.37486478608076
Sandro Mamukelashvili,SAS,-5.7965458325992e-08,-2.02,-3.9984947290496455,0.108799588628645,-3.9984947290496375
Santi Aldama,MEM,1.3559997680096784e-07,4.98,21.417163931927067,0.2015567868838852,21.41716393192708
Simone Fontecchio,DET,8.594230653539204e-08,2.18,-8.440595883767637,0.1124981752321864,-8.440595883767664
Spencer Dinwiddie,DAL,-7.866830296736841e-09,-0.34,-6.700004707738603,-0.0780422912977279,-6.897063669731081
Steven Adams,HOU,1.0269189293016497e-07,4.4,-6.874909100811234,-0.1076590711749412,-6.8592843074003
Talen Horton-Tucker,CHI,-1.1871739594981116e-07,-2.54,-3.6974083887846696,0.2304328125079025,-3.697408388784658
Taurean Prince,MIL,4.8987781258529306e-08,2.39,-2.618676475789012,0.108144598340233,-2.6296332811270475
Tim Hardaway Jr.,DET,8.594230653539204e-08,2.18,-4.757426763817773,0.1124981752321864,-4.757426763817787
Tobias Harris,DET,8.594230653539204e-08,2.18,-575.6486874153691,0.1124981752321864,-575.6486874153709
Torrey Craig,BOS,1.833117234147194e-07,9.02,-34.923933427332145,-0.1426859100071145,-34.92393342733219
Trendon Watford,BRK,-1.5395416399652416e-07,-6.16,-5.484165519928547,1.848441653178013,-5.475262653824772
Trey Lyles,SAC,1.5719054682998314e-08,0.7,-1.3184115985746094,-0.0009915644528828,-1.318411598574615
Tristan Thompson,CLE,2.74739712032483e-07,10.09,-11.280082120428808,-0.1851725223475906,-11.280082120428796
Ty Jerome,CLE,2.74739712032483e-07,10.09,9.773864253217182,-0.1851725223475906,9.773864253217171
Vlatko Čančar,DEN,7.235110638261624e-08,3.72,-3.3434292433520514,-0.0847526992765661,-3.34342924335205
Walker Kessler,UTA,-1.7877296307887826e-07,-7.54,10.316087690565332,0.0214512147058481,10.329769504478545
Wendell Moore Jr.,DET,8.594230653539204e-08,2.18,-3.138760296343203,0.1124981752321864,-3.138760296343212
Xavier Tillman Sr.,BOS,1.833117234147194e-07,9.02,-9.883038414902463,-0.1426859100071145,-9.883038414902474
Ziaire Williams,BRK,-1.5395416399652416e-07,-6.16,-58.510916736030445,1.848441653178013,-58.415931481588885
