Player,eFG%,TS%,USG%,3PAr,FTr,AST%,TOV%,STL%,BLK%,DBPM,DRB%,ORB%,DWS,VORP,PER,2024-25_Player_Salary,2025-26_Player_Salary,2026-27_Player_Salary,2027-28_Player_Salary,2028-29_Player_Salary,Guaranteed_Player_Salary,BadPass,LostBall,OnCourt,On-Off,DWS.1,OWS,PG%,SG%,SF%,PF%,C%,Team,W/L%,MOV,ORtg,DRtg,NRtg,NRtg/A,2024-25_Payroll,2025-26_Payroll,Value_per_Dollar,Cap_Impact_Score,Cluster
Chris Boucher,0.39151127,0.638263085,0.686967663,0.41879077,-0.074254837,-0.981621869,-1.092288285,-0.451642815,0.380837575,-0.666295016,0.681089666,0.482849956,0.04330119,0.90842529,1.173333157,36016200,38095238.0,40000000.0,41904762.0,,114111438,-0.507515482,-0.168186382,-0.012039503,0.855488048,0.04330119,0.663419253,-0.503705239,-0.739145456,-0.537402313,2.406123702,-0.570638957,TOR,0.343,-5.1,110.67,115.86,-5.2,-4.6,169454647,177340721,-1.4437947368128786e-07,-0.0444684895580186,3
Chris Duarte,0.284015401,0.564082766,-0.058320298,0.640087471,0.261659901,0.595484109,-1.70322919,-1.931039751,-1.165524059,-0.886608409,0.907950759,0.152784299,-1.246775636,-0.438429194,0.640043818,21395348,10000000.0,10000000.0,,,31395348,-1.059913287,-0.932991824,0.817411412,1.172531179,-1.246775636,-0.699382065,-0.030699868,2.244396082,-0.449137776,-0.69781851,-0.743372912,CHI,0.437,-2.61,113.62,116.16,-2.54,-2.71,165919354,134846334,-1.1871739594981116e-07,0.2304328125079025,1
Christian Braun,0.857326702,1.276213832,-0.31280887,-0.595150476,0.068393888,-0.475211693,-0.870127956,-0.110243522,-0.392343242,-0.445981624,-0.566646346,-0.424830602,1.046694276,1.413495722,0.500924859,51415938,55224526.0,59033114.0,62841702.0,,165673578,0.762999467,0.25670553,1.211740536,1.603709837,1.046694276,3.752435574,-0.394550154,1.705201828,0.610036672,-0.69781851,-0.743372912,DEN,0.62,3.86,119.89,116.17,3.72,3.68,182574315,199480856,7.235110638261624e-08,-0.0847526992765661,0
Chuma Okeke,0.355679314,0.163509041,-1.585251729,1.002209345,-1.1556242,-0.706713488,0.333240494,1.25535365,-1.165524059,-1.327235193,-0.291172162,1.266755893,-1.246775636,-0.606786005,-0.217856424,51415938,55224526.0,57985752.0,62624612.0,67263472.0,227250828,-1.059913287,-0.932991824,-0.827892861,-0.095641345,-1.246775636,-0.881088908,-0.503705239,-0.739145456,-0.537402313,1.416955304,0.120296861,PHI,0.329,-5.43,112.39,117.99,-5.6,-5.28,169007888,174403855,-1.0891564401684164e-07,-0.0309394938546513,2
Clint Capela,0.069023663,-0.118376173,-0.149209073,-1.669445368,-0.009832832,-0.750120074,-0.499860741,-0.451642815,1.09879119,-0.445981624,2.058460588,1.906258105,0.903352407,-0.101715573,0.941468227,43031940,45999660.0,48967380.0,,,89031600,-0.12083702,-0.253164764,-0.351978402,-0.082959619,0.903352407,0.663419253,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,ATL,0.486,-1.91,113.6,115.33,-1.73,-1.8,167769541,144680064,-4.020269595096108e-08,0.1595899003749404,3
Collin Sexton,-0.229575973,0.193181169,1.668566441,-0.385924504,0.174230038,1.752993085,0.370267215,-0.679242343,-0.999842455,-1.841299775,-1.376864536,-0.466088809,-1.103433766,0.066641237,0.524111352,42176400,46394100.0,46113154.0,49824681.0,53536209.0,238044544,2.309713318,3.825797591,-0.474356406,0.893533224,-1.103433766,0.845126095,0.260380361,1.992772097,-0.537402313,-0.69781851,-0.743372912,UTA,0.225,-7.49,111.76,119.31,-7.54,-7.1,153559613,150334750,-1.7877296307887826e-07,0.0214512147058481,2
Cory Joseph,-0.635671478,-0.904687559,-0.821786014,0.970020734,-0.700068596,0.566546385,-0.24067369,0.572555064,-0.558024845,0.87589873,-0.842120531,-0.75489626,-0.530066288,-0.606786005,-0.983010693,25000000,15000000.0,14500000.0,14500000.0,15000000.0,69000000,-0.673234824,-0.678056676,-0.311185734,-0.032232718,-0.530066288,-0.790235486,2.29794196,0.087619066,-0.669799119,-0.69781851,-0.743372912,ORL,0.465,-1.31,108.56,109.9,-1.33,-1.82,150359238,199367531,-5.32e-08,-0.2458188289446188,4
D'Angelo Russell,-1.029822997,-0.622802345,1.159589297,0.567663096,-0.101864267,2.707937989,0.148106886,0.231155771,-0.281888839,-0.372543827,-0.712485621,-1.002445503,0.473326798,0.571711669,0.176313957,40011909,,,,,39256083,2.309713318,0.851554207,0.069545833,0.348219039,0.473326798,-0.063408117,3.134797617,-0.739145456,-0.669799119,-0.69781851,-0.743372912,BRK,0.324,-6.06,109.22,115.37,-6.16,-5.86,169054676,59349882,-1.5395416399652416e-07,1.848441653178013,1
Dalano Banton,-0.731223361,-0.711818728,1.141411541,0.080810355,0.045386029,1.246582908,0.222160329,0.572555064,0.325610374,-0.078792637,-0.728689984,-0.775525363,-0.10004068,0.234998048,0.129940971,34005126,35550814.0,,,,69555940,0.762999467,0.681597442,-0.134417507,0.500399742,-0.10004068,-0.790235486,1.897706646,0.483028186,-0.669799119,-0.69781851,-0.743372912,POR,0.451,-3.03,112.15,114.94,-2.79,-2.47,167086613,170831585,-8.204645381993293e-08,-0.0219220116701487,3
Dante Exum,0.12874359,0.282197552,0.377945826,-0.16865138,-0.014434404,1.174238597,-0.074053443,0.003556243,-0.77893365,-0.813170611,-1.182412171,-1.04370371,-0.960091897,-0.606786005,0.083567985,43219440,54126450.0,58456566.0,62786682.0,,155802456,-0.341796141,-0.848013441,-1.004661089,-0.970680386,-0.960091897,-0.426821802,2.80733236,-0.415628904,-0.669799119,-0.69781851,-0.743372912,DAL,0.479,-0.39,115.66,116.01,-0.34,0.25,175238530,190072200,-7.866830296736841e-09,-0.0780422912977279,0
